iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
158,15900,-6.35966,0.60824,-6.60402,0.54964,-6.48556,0.56948
159,16000,-6.33663,0.56555,-6.55592,0.52124,-6.50173,0.63659
160,16100,-6.38253,0.55466,-6.60990,0.51918,-6.49870,0.68559
161,16200,-6.36190,0.52180,-6.55941,0.51576,-6.56683,0.74749
162,16300,-6.39421,0.51540,-6.53908,0.52857,-6.55209,0.64741
163,16400,-6.45050,0.55464,-6.54939,0.53381,-6.53513,0.59211
164,16500,-6.44166,0.52814,-6.50922,0.60364,-6.58628,0.66430
165,16600,-6.40802,0.56197,-6.53990,0.56047,-6.57878,0.63852
166,16700,-6.38286,0.54517,-6.55604,0.57356,-6.59140,0.52493
167,16800,-6.39929,0.52704,-6.59197,0.59669,-6.61145,0.57388
168,16900,-6.42325,0.54000,-6.58808,0.56375,-6.57207,0.53963
169,17000,-6.41793,0.55353,-6.62634,0.60848,-6.65122,0.48570
170,17100,-6.45590,0.52223,-6.62211,0.65327,-6.58547,0.57615
171,17200,-6.43955,0.53207,-6.65092,0.53716,-6.61607,0.56076
172,17300,-6.47871,0.52055,-6.68319,0.51738,-6.65919,0.56374
173,17400,-6.47375,0.51276,-6.64318,0.56573,-6.71737,0.63766
174,17500,-6.51482,0.52839,-6.70130,0.55011,-6.68750,0.60230
175,17600,-6.52192,0.50444,-6.66307,0.54539,-6.67155,0.55677
176,17700,-6.57733,0.54088,-6.65041,0.53086,-6.64543,0.53988
177,17800,-6.49288,0.58149,-6.66093,0.50890,-6.70670,0.49871
178,17900,-6.52731,0.54719,-6.67353,0.49883,-6.71816,0.54923
179,18000,-6.53439,0.52682,-6.67675,0.50826,-6.70501,0.54784
180,18100,-6.45678,0.56351,-6.71365,0.50765,-6.76970,0.55310
181,18200,-6.51946,0.50305,-6.67548,0.61708,-6.67688,0.53976
182,18300,-6.52794,0.53916,-6.64946,0.62025,-6.70404,0.47868
183,18400,-6.50227,0.52292,-6.72690,0.52956,-6.72547,0.55179
184,18500,-6.54249,0.47931,-6.66198,0.53884,-6.73694,0.55393
185,18600,-6.55860,0.52224,-6.68629,0.55899,-6.71286,0.50232
186,18700,-6.58148,0.53482,-6.78025,0.55460,-6.76054,0.51542
187,18800,-6.57069,0.49552,-6.65930,0.55093,-6.79452,0.58518
188,18900,-6.54584,0.48467,-6.80913,0.51806,-6.73987,0.54933
189,19000,-6.61990,0.60641,-6.79014,0.52527,-6.76305,0.51179
190,19100,-6.55898,0.55861,-6.73558,0.60194,-6.75269,0.47473
191,19200,-6.54210,0.48280,-6.76576,0.52504,-6.77516,0.55332
