iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
226,22700,-0.24751,0.92665,-0.19469,0.90264
227,22800,-0.26635,0.83205,-0.20374,0.89574
228,22900,-0.25606,0.85009,-0.21772,0.88422
229,23000,-0.22332,1.00383,-0.19683,0.99279
230,23100,-0.24881,1.00546,-0.22776,0.93878
231,23200,-0.23486,1.01662,-0.19715,0.99330
232,23300,-0.22488,0.93146,-0.20310,1.05045
233,23400,-0.19363,0.97740,-0.22126,0.81329
234,23500,-0.20830,0.90741,-0.20480,1.01014
235,23600,-0.21069,0.98176,-0.22119,0.97117
236,23700,-0.22063,0.91285,-0.20590,0.96423
237,23800,-0.18869,1.07189,-0.21900,0.87854
238,23900,-0.18988,0.87515,-0.22337,1.03650
239,24000,-0.19009,0.91901,-0.23473,1.00153
240,24100,-0.17135,0.95694,-0.22962,0.84093
241,24200,-0.17590,0.93428,-0.20695,0.87030
242,24300,-0.17869,0.83143,-0.20683,0.99085
243,24400,-0.16341,0.82588,-0.22606,0.97564
244,24500,-0.18557,0.96102,-0.22834,0.94890
245,24600,-0.15715,0.96234,-0.23015,0.91715
246,24700,-0.16090,0.89585,-0.22607,1.07101
247,24800,-0.13855,0.89777,-0.22961,0.94435
248,24900,-0.15091,1.01841,-0.22092,0.98034
