iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
143,14400,1.23962,0.11348,1.59747,1.23707,0.11295,1.59478,1.23119,0.11361,1.59660,1.03676,0.08543,1.60318
144,14500,1.26532,0.11211,1.59791,1.20091,0.11145,1.59575,1.19412,0.11190,1.59739,1.06868,0.08445,1.60302
145,14600,1.23118,0.11054,1.59704,1.29234,0.11000,1.59504,1.26286,0.11053,1.59656,1.03313,0.08331,1.60302
146,14700,1.30825,0.10916,1.59732,1.21904,0.10857,1.59519,1.31692,0.10899,1.59708,1.04167,0.08231,1.60284
147,14800,1.21389,0.10768,1.59690,1.24153,0.10696,1.59533,1.32856,0.10769,1.59725,1.04304,0.08132,1.60245
148,14900,1.24667,0.10635,1.59646,1.34985,0.10558,1.59551,1.28231,0.10608,1.59715,1.04914,0.08030,1.60265
149,15000,1.24299,0.10482,1.59763,1.32089,0.10419,1.59552,1.25332,0.10464,1.59673,1.04049,0.07938,1.60257
150,15100,1.26469,0.10342,1.59672,1.24793,0.10280,1.59524,1.42562,0.10326,1.59661,0.97841,0.07836,1.60256
151,15200,1.18819,0.10200,1.59616,1.38322,0.10139,1.59471,1.20496,0.10186,1.59536,1.02948,0.07734,1.60240
152,15300,1.20136,0.10053,1.59661,1.28290,0.09998,1.59501,1.33982,0.10035,1.59556,1.02596,0.07637,1.60236
153,15400,1.25526,0.09912,1.59717,1.30363,0.09851,1.59548,1.30149,0.09908,1.59631,0.97062,0.07543,1.60165
154,15500,1.24145,0.09784,1.59657,1.38247,0.09709,1.59376,1.23128,0.09765,1.59599,1.00777,0.07447,1.60215
155,15600,1.24351,0.09645,1.59650,1.23562,0.09589,1.59313,1.27040,0.09632,1.59570,1.01580,0.07351,1.60191
156,15700,1.24479,0.09493,1.59663,1.25105,0.09452,1.59456,1.33229,0.09496,1.59581,1.06067,0.07246,1.60149
157,15800,1.30304,0.09378,1.59611,1.31912,0.09320,1.59365,1.25683,0.09374,1.59468,0.99102,0.07157,1.60189
158,15900,1.25747,0.09243,1.59585,1.18939,0.09189,1.59458,1.30112,0.09247,1.59557,1.01126,0.07076,1.60181
159,16000,1.27648,0.09111,1.59513,1.23921,0.09055,1.59374,1.30189,0.09101,1.59509,1.03463,0.06977,1.60145
160,16100,1.20608,0.08984,1.59563,1.22110,0.08930,1.59347,1.26954,0.08981,1.59593,0.98771,0.06889,1.60153
161,16200,1.32612,0.08856,1.59409,1.31352,0.08803,1.59435,1.34338,0.08851,1.59539,0.98803,0.06799,1.60132
162,16300,1.27313,0.08725,1.59558,1.26873,0.08673,1.59433,1.34345,0.08732,1.59557,0.95757,0.06705,1.60109
163,16400,1.33394,0.08589,1.59497,1.30999,0.08544,1.59375,1.30547,0.08601,1.59479,1.00723,0.06619,1.60109
164,16500,1.32596,0.08488,1.59580,1.37182,0.08419,1.59298,1.26585,0.08468,1.59514,1.05721,0.06541,1.60112
165,16600,1.34846,0.08348,1.59501,1.28389,0.08290,1.59358,1.34143,0.08364,1.59423,1.03810,0.06454,1.60147
166,16700,1.32246,0.08233,1.59485,1.31149,0.08171,1.59263,1.32612,0.08226,1.59448,0.95292,0.06371,1.60135
167,16800,1.28995,0.08103,1.59412,1.32993,0.08057,1.59418,1.40458,0.08119,1.59478,1.03817,0.06286,1.60088
