iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
212,21300,-4.02513,1.64460,0.02539,1.08286,-9.32431,1.74856,0.10049,1.58201
213,21400,-4.02156,1.62503,0.02501,1.08269,-9.17169,1.71351,0.09905,1.58075
214,21500,-3.95302,1.57829,0.02467,1.08296,-9.05661,1.63974,0.09800,1.57994
215,21600,-3.91626,1.61740,0.02432,1.08278,-9.00469,1.63777,0.09665,1.57995
216,21700,-3.82731,1.61034,0.02407,1.08332,-8.92399,1.67778,0.09546,1.57948
217,21800,-3.82416,1.63471,0.02379,1.08372,-8.91709,1.62972,0.09432,1.58009
218,21900,-3.79548,1.72055,0.02337,1.08301,-8.80764,1.67568,0.09288,1.57902
219,22000,-3.79357,1.65971,0.02312,1.08342,-8.64079,1.69848,0.09156,1.57970
220,22100,-3.68292,1.56260,0.02281,1.08340,-8.54653,1.69309,0.09043,1.57964
221,22200,-3.71999,1.63380,0.02254,1.08347,-8.54915,1.65376,0.08926,1.57913
222,22300,-3.70310,1.53115,0.02223,1.08334,-8.43655,1.59735,0.08807,1.57906
223,22400,-3.66082,1.52556,0.02192,1.08317,-8.40223,1.67247,0.08696,1.57799
224,22500,-3.55754,1.62920,0.02168,1.08345,-8.30314,1.66147,0.08579,1.57758
225,22600,-3.55734,1.63818,0.02147,1.08393,-8.27481,1.68539,0.08464,1.57799
226,22700,-3.49999,1.62696,0.02117,1.08367,-8.12423,1.58390,0.08350,1.57800
227,22800,-3.41472,1.59790,0.02094,1.08400,-8.08023,1.59663,0.08236,1.57759
228,22900,-3.36046,1.57737,0.02061,1.08329,-7.92893,1.68347,0.08121,1.57612
229,23000,-3.44962,1.63794,0.02047,1.08419,-7.90550,1.59726,0.08013,1.57724
230,23100,-3.32644,1.68357,0.02013,1.08375,-7.81343,1.73203,0.07899,1.57650
231,23200,-3.34429,1.58905,0.01995,1.08407,-7.78877,1.66785,0.07791,1.57556
232,23300,-3.36256,1.63805,0.01968,1.08362,-7.67772,1.68274,0.07691,1.57590
233,23400,-3.29436,1.67779,0.01948,1.08404,-7.69534,1.61921,0.07587,1.57627
234,23500,-3.23835,1.55593,0.01923,1.08388,-7.48076,1.72737,0.07473,1.57518
235,23600,-3.26573,1.50617,0.01904,1.08386,-7.51436,1.71502,0.07367,1.57557
236,23700,-3.20570,1.65587,0.01886,1.08406,-7.35186,1.62557,0.07270,1.57546
237,23800,-3.09720,1.54541,0.01867,1.08471,-7.40832,1.60969,0.07165,1.57543
238,23900,-3.14835,1.56662,0.01839,1.08343,-7.26128,1.62125,0.07074,1.57563
239,24000,-3.07130,1.68136,0.01837,1.08542,-7.15125,1.72662,0.06980,1.57419
240,24100,-3.06381,1.61131,0.01805,1.08410,-7.12520,1.64752,0.06869,1.57368
241,24200,-3.05112,1.59457,0.01788,1.08450,-7.00180,1.60592,0.06783,1.57335
242,24300,-3.02261,1.57899,0.01768,1.08451,-6.92673,1.64449,0.06680,1.57500
243,24400,-2.93281,1.67908,0.01755,1.08524,-6.87444,1.65494,0.06586,1.57349
244,24500,-2.91372,1.50708,0.01728,1.08428,-6.83167,1.67416,0.06483,1.57465
245,24600,-2.96328,1.50575,0.01718,1.08486,-6.79832,1.60594,0.06406,1.57309
246,24700,-2.98455,1.57270,0.01699,1.08492,-6.69714,1.67643,0.06304,1.57402
247,24800,-2.87277,1.64720,0.01681,1.08465,-6.68237,1.59002,0.06210,1.57289
248,24900,-2.84680,1.62232,0.01662,1.08448,-6.58699,1.58229,0.06131,1.57360
