iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
190,19100,-0.51955,0.88156,0.03621,0.92488,0.07427,1.05778
191,19200,-0.50287,0.95298,0.05539,0.96341,0.10255,0.90133
192,19300,-0.50962,0.87099,0.04090,1.03622,0.08945,0.89245
193,19400,-0.53461,0.83237,0.06000,0.96689,0.11757,0.93758
194,19500,-0.51709,0.86366,0.04307,0.94287,0.13787,0.95404
195,19600,-0.50117,0.91043,0.04506,0.96528,0.12483,0.95117
196,19700,-0.50167,0.84878,0.02568,1.00638,0.09466,0.97536
197,19800,-0.49000,0.92950,0.04882,0.99218,0.13348,0.90360
198,19900,-0.50437,0.82177,0.05903,0.93510,0.10339,0.92464
199,20000,-0.49385,0.87739,0.02195,0.96762,0.12079,0.96409
200,20100,-0.49046,0.94325,0.06002,0.96640,0.09623,0.93998
201,20200,-0.48284,0.86244,0.08109,1.04944,0.06809,1.05081
202,20300,-0.47609,0.91183,0.03640,0.99520,0.10618,0.97780
203,20400,-0.50424,0.85810,0.04608,0.95761,0.08658,0.92500
204,20500,-0.47699,0.87061,0.04671,0.96059,0.09516,0.98500
205,20600,-0.49559,0.87199,0.04799,0.93588,0.08723,0.95229
206,20700,-0.50170,0.92730,0.05631,0.91347,0.09349,0.90108
207,20800,-0.50556,0.85282,0.08629,0.92622,0.08525,0.88247
208,20900,-0.50541,0.90473,0.10205,0.96170,0.10305,0.92599
209,21000,-0.49473,0.88134,0.10344,0.95574,0.07233,1.03912
210,21100,-0.52184,0.90047,0.09627,0.91111,0.08917,0.96611
211,21200,-0.49365,0.86579,0.07316,0.89784,0.08600,0.91011
212,21300,-0.49934,0.91263,0.09688,1.01521,0.10537,0.89823
213,21400,-0.49408,0.87580,0.09380,1.04407,0.10130,0.95023
214,21500,-0.52439,0.86103,0.07722,0.95790,0.10627,0.96138
215,21600,-0.50820,0.85761,0.08693,0.97334,0.10626,0.91820
216,21700,-0.50847,0.91355,0.11243,0.92879,0.08209,0.98342
217,21800,-0.50650,0.93030,0.06967,1.06032,0.09913,0.99091
218,21900,-0.51053,0.97091,0.10135,1.01976,0.05792,0.92761
219,22000,-0.50914,0.95231,0.07500,0.97216,0.07345,0.99923
220,22100,-0.50494,0.85458,0.13168,0.97306,0.06560,0.91233
221,22200,-0.50770,0.95833,0.10329,0.93890,0.10152,0.92772
222,22300,-0.54244,0.85695,0.08567,0.94432,0.07711,0.85894
223,22400,-0.45902,1.00190,0.06439,1.04065,0.08885,0.90693
224,22500,-0.50600,0.85626,0.08694,0.93458,0.09579,0.89098
225,22600,-0.49756,0.89758,0.08579,0.96128,0.08718,0.88828
226,22700,-0.47170,0.96312,0.04632,0.92493,0.06110,0.85012
227,22800,-0.46322,1.01945,0.05588,1.02425,0.05717,0.95008
228,22900,-0.52007,0.91082,0.03805,1.00817,0.08304,0.96713
229,23000,-0.52210,0.84660,0.11765,0.96334,0.04333,1.00943
230,23100,-0.50351,0.89561,0.02456,1.01367,0.09558,0.97904
231,23200,-0.49615,0.88430,0.04145,0.95657,0.07348,1.03215
232,23300,-0.48623,0.87585,0.03781,1.04314,0.07442,0.94726
233,23400,-0.50953,0.84653,0.03225,1.01416,0.05692,0.92437
234,23500,-0.46989,0.88950,0.07839,0.86613,0.06784,0.91936
235,23600,-0.46169,0.94335,0.03602,1.06471,0.02588,0.94505
236,23700,-0.50240,0.85153,0.00083,0.97769,0.02828,0.99599
237,23800,-0.47469,0.89674,0.05063,0.96075,0.03712,1.05446
238,23900,-0.46951,0.91213,0.03777,0.91646,0.02447,0.98164
239,24000,-0.47677,0.88737,0.06512,0.95217,0.02013,0.94313
240,24100,-0.45830,0.88664,0.05639,0.96107,0.04009,0.93296
241,24200,-0.44583,0.92437,0.03384,0.95273,0.04832,0.96970
242,24300,-0.45280,0.92869,0.03269,0.96973,0.05579,0.89518
243,24400,-0.45536,0.94733,0.04669,1.00784,0.03077,1.00111
244,24500,-0.44298,0.88679,0.03899,0.88496,0.02127,1.02984
245,24600,-0.44565,0.95287,0.03189,0.93945,0.01131,0.92168
246,24700,-0.46839,0.85198,0.03116,0.90542,0.05216,0.89022
247,24800,-0.43910,1.03317,0.05843,0.98131,0.05092,0.88593
248,24900,-0.45324,0.91447,0.02746,0.89051,0.05877,0.94564
