iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
175,17600,2.54910,0.32099,2.43543,0.33127,2.33753,0.33391,2.03356,0.31550
176,17700,2.47322,0.32081,2.55180,0.33233,2.41154,0.33556,2.12021,0.31387
177,17800,2.41943,0.31941,2.45709,0.33158,2.37923,0.33587,2.14426,0.31782
178,17900,2.55619,0.32224,2.40430,0.32884,2.35387,0.33568,1.95199,0.31684
179,18000,2.44422,0.32003,2.54212,0.33456,2.47986,0.33669,2.12665,0.31460
180,18100,2.65652,0.32224,2.73710,0.32894,2.18256,0.33490,2.13925,0.31690
181,18200,2.58074,0.32109,2.42026,0.33037,2.36035,0.33607,2.01224,0.31329
182,18300,2.48566,0.32274,2.43005,0.33172,2.29144,0.33854,2.09839,0.31562
183,18400,2.49288,0.32245,2.76965,0.33020,2.47917,0.33837,2.32234,0.31573
184,18500,2.57761,0.32277,2.56926,0.33091,2.32424,0.34081,2.08247,0.31577
185,18600,2.76847,0.32356,2.63396,0.33308,2.37048,0.33635,2.08534,0.31719
186,18700,2.84553,0.32226,2.65475,0.33161,2.43947,0.34108,1.98404,0.31725
187,18800,2.51894,0.32494,2.48628,0.33333,2.49151,0.33471,1.97331,0.31770
188,18900,2.47605,0.32375,2.59239,0.33296,2.37125,0.33541,2.12742,0.31425
189,19000,2.51253,0.32544,2.62170,0.33518,2.45572,0.33499,2.15645,0.31645
190,19100,2.62498,0.32442,2.57241,0.33282,2.27080,0.33672,1.96451,0.31306
191,19200,2.60121,0.32621,2.39231,0.33131,2.36357,0.33750,2.13008,0.31292
192,19300,2.45082,0.32938,2.58487,0.33445,2.24801,0.33752,2.02421,0.31548
193,19400,2.53718,0.32470,2.38160,0.33449,2.30727,0.33706,2.01444,0.31390
194,19500,2.51649,0.32469,2.66607,0.33523,2.57782,0.33664,2.06171,0.31602
195,19600,2.76084,0.32377,2.57578,0.33556,2.12568,0.33643,2.01541,0.31588
196,19700,2.57067,0.32535,2.55739,0.33233,2.62383,0.33863,2.10854,0.31627
197,19800,2.64394,0.32334,2.87414,0.33303,2.50396,0.33536,2.13164,0.31619
198,19900,2.79158,0.32384,2.53695,0.33310,2.31196,0.33431,2.08838,0.31417
199,20000,2.43896,0.32646,2.49386,0.33507,2.49993,0.33618,2.10688,0.31665
200,20100,2.84740,0.32858,2.67800,0.33167,2.29484,0.33758,2.29051,0.31444
201,20200,2.70782,0.32311,2.57032,0.33564,2.40712,0.33586,2.12104,0.31447
202,20300,2.58638,0.32472,2.66808,0.33268,2.33187,0.33715,2.24350,0.31453
203,20400,2.67190,0.32825,2.46071,0.33383,2.39695,0.33748,2.08110,0.31242
204,20500,2.65214,0.32612,2.63428,0.33469,2.31715,0.33589,2.14896,0.31051
205,20600,2.60272,0.32507,2.61843,0.33335,2.47083,0.33609,2.19255,0.30954
206,20700,2.64189,0.32445,2.43061,0.33293,2.30440,0.33665,2.24166,0.31099
