iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
170,17100,-17.59468,0.83641,0.21273,-16.86492,0.93431,0.21290
171,17200,-17.39355,1.03042,0.21159,-16.69314,1.09047,0.21048
172,17300,-17.26040,0.87011,0.20864,-16.58298,1.01954,0.20910
173,17400,-17.03257,0.93710,0.20740,-16.45863,0.87098,0.20735
174,17500,-16.90694,0.97710,0.20428,-16.26650,0.89413,0.20538
175,17600,-16.73130,0.97045,0.20361,-16.10461,0.91423,0.20295
176,17700,-16.54531,1.00800,0.20228,-15.92922,0.91660,0.20125
177,17800,-16.43133,0.89920,0.19979,-15.75236,0.95151,0.19936
178,17900,-16.24875,0.93550,0.19764,-15.63026,0.97133,0.19744
179,18000,-16.08002,0.85586,0.19626,-15.50856,0.91664,0.19699
180,18100,-15.86559,0.95197,0.19494,-15.38399,0.97974,0.19609
181,18200,-15.77398,1.01792,0.19329,-15.26515,0.96570,0.19205
182,18300,-15.57281,0.97705,0.19203,-15.06628,1.05013,0.19232
183,18400,-15.39257,1.01018,0.19070,-15.00237,0.90336,0.18916
184,18500,-15.29323,1.09622,0.18838,-14.88075,0.94538,0.18927
185,18600,-15.17185,1.00431,0.18699,-14.75422,0.91650,0.18859
186,18700,-14.96836,0.95830,0.18585,-14.62334,0.92885,0.18553
187,18800,-14.87188,0.97194,0.18412,-14.48835,0.95526,0.18410
188,18900,-14.69426,0.98144,0.18211,-14.36034,0.82745,0.18323
189,19000,-14.58500,0.98413,0.18183,-14.21893,0.90881,0.18134
190,19100,-14.48130,0.93766,0.17991,-14.16342,0.81236,0.18022
191,19200,-14.49288,0.94678,0.17894,-14.00335,0.86864,0.17947
192,19300,-14.43701,0.91660,0.17796,-13.86459,0.93088,0.17819
193,19400,-14.42692,0.84847,0.17722,-13.72177,0.90188,0.17534
194,19500,-14.31187,0.89763,0.17569,-13.64533,0.95367,0.17476
195,19600,-14.29793,0.92706,0.17308,-13.54043,0.89742,0.17376
196,19700,-14.16186,0.96624,0.17317,-13.37535,0.88691,0.17355
197,19800,-14.03578,0.83218,0.17004,-13.23913,0.91255,0.17188
198,19900,-13.91568,0.83168,0.16996,-13.10388,0.91343,0.17061
199,20000,-13.81609,0.90283,0.16920,-12.99250,0.87488,0.16914
200,20100,-13.61105,0.81899,0.16783,-12.92908,0.95301,0.16747
201,20200,-13.51959,0.86165,0.16698,-12.79526,0.93598,0.16654
202,20300,-13.36308,0.94073,0.16696,-12.67018,0.99532,0.16635
203,20400,-13.26244,0.90750,0.16550,-12.58993,0.88652,0.16448
204,20500,-13.13658,0.90587,0.16441,-12.49740,0.88624,0.16362
205,20600,-13.00610,0.84495,0.16328,-12.35830,0.92536,0.16302
206,20700,-12.87815,0.88210,0.16120,-12.26046,0.85464,0.16169
207,20800,-12.75069,0.90164,0.16129,-12.13952,0.87992,0.16080
208,20900,-12.63358,0.94004,0.16030,-12.07987,0.86612,0.15974
209,21000,-12.50643,0.90130,0.15932,-11.95125,0.95543,0.15918
210,21100,-12.40652,0.95570,0.15725,-11.84781,0.91668,0.15861
211,21200,-12.28273,0.90978,0.15708,-11.79375,0.89824,0.15708
212,21300,-12.14097,0.94000,0.15645,-11.65187,0.99561,0.15600
213,21400,-12.06211,0.89371,0.15481,-11.62498,0.84099,0.15508
214,21500,-11.93507,0.87492,0.15371,-11.48521,0.88005,0.15445
215,21600,-11.84605,0.95609,0.15359,-11.39216,0.95319,0.15386
216,21700,-11.72572,0.86485,0.15221,-11.23081,1.00016,0.15352
217,21800,-11.64579,0.83399,0.15160,-11.21885,0.85467,0.15090
218,21900,-11.52930,0.95581,0.15112,-11.08338,0.93016,0.15043
219,22000,-11.40289,0.95442,0.14989,-11.00931,0.98982,0.14960
220,22100,-11.32774,0.89508,0.14885,-10.91301,0.91379,0.14796
221,22200,-11.24669,0.83741,0.14765,-10.83375,0.88720,0.14887
222,22300,-11.13020,0.94419,0.14758,-10.77594,0.81578,0.14715
223,22400,-11.01112,0.93413,0.14498,-10.69185,0.97295,0.14568
224,22500,-10.94623,0.87197,0.14506,-10.62293,0.86319,0.14442
225,22600,-10.84197,0.86901,0.14411,-10.56855,0.86406,0.14437
226,22700,-10.72330,0.94945,0.14307,-10.48278,0.91041,0.14411
227,22800,-10.66328,0.86147,0.14241,-10.41321,0.84970,0.14271
228,22900,-10.55665,0.92714,0.14203,-10.32084,0.89223,0.14225
229,23000,-10.51098,0.82891,0.13996,-10.25527,0.85299,0.14062
230,23100,-10.39958,0.89022,0.14067,-10.15558,0.95196,0.14037
231,23200,-10.33455,0.87262,0.13929,-10.11303,1.02004,0.13958
232,23300,-10.25469,0.89592,0.13896,-10.08996,0.85634,0.13913
233,23400,-10.12160,0.99098,0.13797,-9.93717,0.89869,0.13826
234,23500,-10.07927,0.87172,0.13768,-9.89033,0.90323,0.13702
235,23600,-10.01146,0.84986,0.13650,-9.80321,1.01042,0.13648
236,23700,-9.93002,0.86727,0.13575,-9.76273,0.91660,0.13624
237,23800,-9.85201,0.87363,0.13479,-9.71254,0.84771,0.13517
238,23900,-9.77711,0.84243,0.13423,-9.58390,0.99045,0.13443
239,24000,-9.67598,0.93344,0.13349,-9.57047,0.84251,0.13279
240,24100,-9.61432,0.90614,0.13341,-9.42585,0.90872,0.13277
241,24200,-9.56348,0.90645,0.13206,-9.42432,0.83937,0.13205
242,24300,-9.47478,0.87341,0.13121,-9.27141,0.97571,0.13180
243,24400,-9.38571,0.83115,0.13019,-9.23726,0.86547,0.13068
244,24500,-9.32187,0.94446,0.13059,-9.17580,0.89453,0.12998
245,24600,-9.25371,0.89329,0.12956,-9.09667,0.94016,0.12908
246,24700,-9.18957,0.80477,0.12866,-9.03761,0.97190,0.12923
247,24800,-9.09896,0.93232,0.12816,-8.96763,0.92180,0.12849
248,24900,-9.00249,0.94378,0.12718,-8.93872,0.87918,0.12738
