iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
81,8200,-24.31296,1.22116,0.50719,-24.06128,1.93047,0.49788,-24.44184,1.79139,0.49759,-30.68786,2.81624,0.61959
82,8300,-24.32667,1.31100,0.50521,-23.94825,2.01930,0.49522,-24.31804,1.93486,0.49502,-30.94648,1.90189,0.61580
83,8400,-24.30087,1.24295,0.50239,-23.97884,1.29704,0.49294,-24.27938,1.67379,0.49235,-31.25921,2.20336,0.61239
84,8500,-24.30670,1.66483,0.49985,-23.90374,2.16584,0.49123,-24.36780,1.96189,0.48927,-30.86122,2.32099,0.60819
85,8600,-24.33823,2.19220,0.49719,-23.81352,1.86365,0.48831,-24.05987,2.13455,0.48624,-31.11846,2.04945,0.60471
86,8700,-24.52394,2.29474,0.49477,-23.83096,1.99033,0.48586,-24.06082,1.79828,0.48329,-30.78461,1.19157,0.59964
87,8800,-24.51802,1.51642,0.49171,-23.84080,2.36885,0.48384,-24.59314,2.24653,0.48067,-30.72733,1.21062,0.59690
88,8900,-24.23146,1.51916,0.48974,-23.87722,1.41479,0.48139,-24.12197,1.86068,0.47801,-30.62531,1.12314,0.59364
89,9000,-24.22582,1.46390,0.48641,-23.69989,1.34549,0.47886,-24.05125,1.77281,0.47417,-30.84793,1.03848,0.59022
90,9100,-24.24138,1.48595,0.48359,-23.55017,1.47028,0.47631,-24.33306,3.37520,0.47151,-30.67398,2.93456,0.58587
91,9200,-24.48346,2.03222,0.48153,-23.64106,1.52125,0.47358,-24.10311,2.54314,0.46809,-30.73808,1.09109,0.58273
92,9300,-24.34387,1.82334,0.47874,-23.56649,1.42986,0.47168,-23.94136,2.97291,0.46546,-30.92302,1.50162,0.57912
93,9400,-24.18755,2.11242,0.47615,-23.40044,1.99620,0.46901,-23.64251,2.40376,0.46233,-30.93364,1.32152,0.57604
94,9500,-24.19257,1.72270,0.47359,-23.66329,1.87657,0.46620,-24.08136,2.21334,0.45988,-30.99171,0.91588,0.57203
95,9600,-24.05941,1.63543,0.47103,-23.50126,1.69547,0.46428,-23.81546,1.50538,0.45665,-30.67039,1.63231,0.56901
96,9700,-24.07762,1.84860,0.46898,-23.58541,2.15775,0.46233,-23.47310,1.40723,0.45435,-30.72611,1.03728,0.56583
97,9800,-24.07491,2.39725,0.46542,-23.50063,1.29617,0.45992,-23.52535,1.36065,0.45138,-30.79403,1.04889,0.56291
98,9900,-24.21812,1.64182,0.46352,-23.65675,1.35214,0.45721,-23.48970,1.38530,0.44894,-30.81213,1.17474,0.55925
99,10000,-23.96291,1.83186,0.46086,-23.47474,1.34377,0.45476,-23.30825,2.51168,0.44638,-30.59964,1.04490,0.55578
100,10100,-23.86852,1.43288,0.45786,-23.14378,1.44203,0.45257,-23.43079,1.49967,0.44300,-30.22124,1.77323,0.55235
101,10200,-23.76696,1.28745,0.45604,-23.08646,1.42427,0.45020,-23.50814,1.78836,0.44125,-30.75974,1.86613,0.54943
102,10300,-23.58888,1.23941,0.45278,-23.01855,1.57770,0.44765,-23.45340,2.00903,0.43834,-30.27997,1.56236,0.54565
103,10400,-23.73178,1.93598,0.45062,-23.12648,1.83964,0.44531,-23.09520,1.65592,0.43641,-30.41419,1.31000,0.54263
104,10500,-23.67927,1.58915,0.44833,-22.97754,1.59980,0.44286,-23.35656,2.41909,0.43381,-30.27545,2.97361,0.53987
105,10600,-23.68396,1.74286,0.44627,-22.99055,1.75260,0.44001,-23.25941,1.37926,0.43058,-29.87439,3.25280,0.53604
106,10700,-23.71736,1.81996,0.44350,-22.87186,1.37329,0.43810,-23.01041,1.26454,0.42879,-30.07151,1.11805,0.53328
107,10800,-23.75860,1.92892,0.44123,-22.76892,1.52649,0.43553,-23.16719,1.38338,0.42559,-29.93058,0.92330,0.53004
108,10900,-23.35122,1.71524,0.43802,-22.88728,1.45270,0.43311,-22.90600,1.64155,0.42379,-29.84799,1.55240,0.52703
109,11000,-23.37683,1.61939,0.43587,-22.63805,1.27324,0.43114,-23.15493,2.45849,0.42117,-30.17916,1.67248,0.52387
110,11100,-23.37009,1.99310,0.43343,-22.48053,1.32956,0.42829,-22.92763,1.55375,0.41916,-29.76680,1.55884,0.52055
111,11200,-22.93242,1.79613,0.43134,-22.54788,1.19131,0.42621,-22.94095,1.19597,0.41613,-29.61112,1.56192,0.51747
112,11300,-22.94856,1.64840,0.42898,-22.45230,1.20074,0.42367,-22.59778,2.56236,0.41367,-29.56788,1.53818,0.51412
113,11400,-22.78064,1.98039,0.42635,-22.44501,1.13889,0.42148,-22.59029,2.17487,0.41128,-29.13332,1.54387,0.51126
114,11500,-22.91018,1.78316,0.42446,-22.36395,1.11145,0.41925,-22.10146,1.95407,0.40910,-29.03262,1.19234,0.50755
