iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
234,23500,1.01392,0.03436,1.38934,0.03438
235,23600,0.96821,0.03408,1.38138,0.03394
236,23700,1.01285,0.03388,1.38268,0.03373
237,23800,0.98624,0.03353,1.38694,0.03337
238,23900,1.03281,0.03327,1.35125,0.03318
239,24000,0.99093,0.03281,1.36372,0.03287
240,24100,1.01008,0.03254,1.32499,0.03252
241,24200,0.99142,0.03232,1.35675,0.03244
242,24300,0.99595,0.03207,1.30719,0.03193
243,24400,0.98715,0.03184,1.38776,0.03193
244,24500,1.01279,0.03172,1.35750,0.03156
245,24600,0.99576,0.03130,1.37571,0.03123
246,24700,0.98284,0.03111,1.40600,0.03096
247,24800,0.99405,0.03077,1.32492,0.03052
248,24900,0.98164,0.03058,1.37875,0.03037
