iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
72,7300,-14.69767,2.18718,0.18057,-14.75754,2.00292,0.18019,-14.55997,2.29511,0.17983,-13.48838,1.58902,0.17890
73,7400,-14.83240,2.12272,0.18064,-14.85452,2.00104,0.18041,-14.67512,2.14431,0.18022,-13.77411,1.50941,0.17972
74,7500,-14.76589,2.16134,0.18083,-14.98985,2.97202,0.18049,-14.71716,2.24150,0.18086,-13.59107,1.62254,0.18035
75,7600,-14.96415,2.06389,0.18110,-14.97499,2.17512,0.18066,-14.84789,2.24420,0.18270,-13.75135,1.64347,0.17895
76,7700,-15.13796,2.25590,0.18177,-15.02248,1.99984,0.17988,-14.95234,2.23695,0.18052,-13.72795,1.43262,0.18170
77,7800,-15.06782,2.20811,0.18003,-15.03262,1.92556,0.17963,-15.02260,2.14817,0.18143,-13.84456,1.47681,0.18138
78,7900,-15.12454,2.16702,0.18071,-15.18976,1.97202,0.18066,-15.27112,2.14117,0.18093,-13.89308,1.48308,0.18365
79,8000,-15.09199,2.27270,0.18098,-15.29564,2.26798,0.18189,-15.29451,2.23657,0.18146,-13.97680,1.41999,0.17929
80,8100,-15.24264,2.31063,0.18122,-15.25898,1.99376,0.18056,-15.28674,2.18793,0.18033,-14.09498,1.47796,0.18090
81,8200,-15.37627,2.31035,0.18070,-15.53009,2.26448,0.18177,-15.45780,2.09017,0.18157,-14.19464,1.58708,0.18095
82,8300,-15.33630,2.17848,0.18070,-15.51004,2.08633,0.18152,-15.45864,2.08448,0.18223,-14.20204,1.65611,0.18082
83,8400,-15.53853,2.30963,0.18220,-15.61712,1.92040,0.18168,-15.54565,2.20843,0.18217,-14.28393,1.48842,0.18161
84,8500,-15.54727,2.29774,0.18312,-15.61418,2.21623,0.18290,-15.49536,2.04712,0.18112,-14.40460,1.51170,0.18094
85,8600,-15.64469,2.34941,0.18037,-15.76381,2.09715,0.17997,-15.74632,2.07141,0.18067,-14.42752,1.57901,0.18188
86,8700,-15.56787,2.74128,0.18023,-15.78997,2.33976,0.18198,-15.79653,2.19830,0.18132,-14.64851,1.41272,0.18138
87,8800,-15.76941,2.48208,0.18057,-15.76284,2.20946,0.18058,-15.86557,2.28960,0.18247,-14.60437,1.53179,0.18162
88,8900,-15.94611,2.46640,0.18111,-15.74963,2.01674,0.18063,-15.91011,2.05313,0.18134,-14.85229,1.43697,0.18208
89,9000,-15.91273,2.33133,0.18379,-15.86159,1.94562,0.18168,-16.07167,2.41403,0.18343,-14.75711,1.41171,0.18060
90,9100,-15.84638,2.46591,0.17940,-15.98574,2.01149,0.18161,-16.21878,2.33573,0.18252,-14.89496,1.47314,0.18085
91,9200,-15.96704,2.33167,0.18137,-15.96609,1.91027,0.18160,-16.02885,2.29639,0.18194,-14.87342,1.94771,0.18208
92,9300,-16.05261,2.43172,0.18109,-16.01574,2.02056,0.18123,-16.10869,1.93659,0.17985,-14.96152,1.57632,0.18095
93,9400,-16.05493,2.23071,0.18268,-16.09926,1.95060,0.18226,-16.15450,2.10487,0.18252,-15.00489,1.48119,0.18174
94,9500,-16.15564,2.45534,0.18282,-16.08371,2.50598,0.18261,-16.25014,2.02284,0.18262,-15.06300,1.57086,0.18142
95,9600,-16.30659,2.32524,0.18334,-16.18528,1.96248,0.18036,-16.28298,2.12882,0.18183,-15.13170,1.45893,0.18301
96,9700,-16.35017,2.18889,0.18460,-16.19153,1.90315,0.18013,-16.37558,2.12489,0.18457,-15.19398,1.74021,0.18487
97,9800,-16.32657,2.11271,0.18124,-16.23808,1.75118,0.18381,-16.48762,2.04858,0.18202,-15.20894,1.68421,0.18247
98,9900,-16.40663,1.99776,0.18189,-16.34562,1.78190,0.18249,-16.54593,2.01752,0.18288,-15.24079,1.51921,0.18134
99,10000,-16.39265,2.55417,0.18258,-16.39939,2.16475,0.18040,-16.45897,1.96381,0.18005,-15.38457,1.51766,0.18158
100,10100,-16.54705,2.21363,0.18202,-16.47120,1.90805,0.18549,-16.48818,1.93528,0.18263,-15.40418,1.76663,0.18331
101,10200,-16.66210,2.04352,0.18224,-16.43591,1.73824,0.18095,-16.56972,1.97982,0.18180,-15.48876,1.61346,0.18017
102,10300,-16.49631,2.08112,0.18213,-16.52501,1.78812,0.18208,-16.70490,1.87985,0.18154,-15.57588,1.53284,0.18220
103,10400,-16.61433,2.56640,0.18003,-16.66634,1.96529,0.18042,-16.68157,1.90898,0.18009,-15.71982,1.62167,0.18382
104,10500,-16.69109,2.01383,0.18233,-16.59857,2.08316,0.17879,-16.69445,1.98152,0.18224,-15.68711,1.58650,0.18200
105,10600,-16.65237,1.88624,0.18140,-16.67574,1.92545,0.18232,-16.66377,2.06677,0.18107,-15.73391,1.56631,0.18004
106,10700,-16.71086,1.84346,0.18071,-16.78958,1.70732,0.18147,-16.69360,2.03642,0.18077,-15.91352,1.43395,0.18113
107,10800,-16.63082,1.74865,0.18033,-16.73306,1.73787,0.18041,-16.83775,1.98884,0.18104,-15.89932,1.58550,0.18194
108,10900,-16.74270,2.04026,0.18101,-16.83248,1.83149,0.18163,-16.78822,2.06798,0.18250,-15.98357,1.42594,0.18217
109,11000,-16.75773,2.06773,0.18139,-16.76815,1.71979,0.18157,-16.75417,2.02955,0.18116,-16.10645,1.53407,0.18042
110,11100,-16.67040,2.00463,0.18008,-16.81385,1.73638,0.17999,-16.81221,1.88367,0.18046,-16.12453,1.48277,0.17954
111,11200,-16.83973,2.03663,0.18087,-16.94403,1.81607,0.18108,-16.84762,1.97698,0.18009,-16.23058,1.54250,0.18069
112,11300,-16.83065,2.01226,0.18201,-16.90014,1.69523,0.18019,-16.88854,1.81285,0.18014,-16.17918,1.74206,0.17968
113,11400,-16.86259,2.09669,0.18047,-16.87828,1.64877,0.18013,-16.84084,1.74572,0.18020,-16.28268,1.55560,0.17932
114,11500,-16.76692,1.99356,0.18067,-16.91261,1.70627,0.17891,-16.90520,1.78171,0.18064,-16.35125,1.54660,0.18205
115,11600,-16.73996,2.09943,0.18128,-16.90927,1.67813,0.18022,-16.84586,1.74998,0.17859,-16.43757,1.52732,0.18283
116,11700,-16.74569,2.01924,0.18004,-16.84706,1.73526,0.17898,-16.89963,1.74898,0.17967,-16.49268,1.49755,0.17963
117,11800,-16.87125,1.96996,0.17988,-16.94960,1.71717,0.18059,-16.99719,1.71589,0.17989,-16.54674,1.40954,0.18110
118,11900,-16.81341,1.98484,0.18088,-16.94036,1.71845,0.17893,-16.97167,1.78250,0.17825,-16.63613,1.69828,0.18204
119,12000,-16.85606,1.80729,0.17894,-17.01142,1.74236,0.17986,-17.03622,1.75793,0.18039,-16.58111,1.70364,0.17927
120,12100,-16.87193,1.93582,0.18021,-16.97978,1.79187,0.17981,-17.01014,1.81798,0.18018,-16.67987,1.78689,0.18033
121,12200,-16.93753,1.85362,0.18028,-16.96354,1.86011,0.17981,-17.03998,1.95968,0.17866,-16.79059,1.57510,0.18192
122,12300,-16.88992,2.03498,0.17961,-16.96611,1.79111,0.18023,-17.07111,1.84737,0.17996,-16.85903,1.57142,0.18198
123,12400,-16.84911,1.76736,0.17974,-17.02514,2.10296,0.18118,-17.04774,1.94134,0.17904,-16.84951,1.48251,0.18051
124,12500,-16.88941,1.77317,0.18154,-16.89041,2.01046,0.18060,-17.04918,2.09195,0.18096,-16.96297,1.48420,0.17831
125,12600,-16.92423,1.74035,0.18041,-16.96969,2.04583,0.17995,-16.91953,1.86504,0.18089,-17.03436,1.47592,0.17900
126,12700,-16.84214,1.72223,0.17885,-16.90389,1.97890,0.17825,-17.03543,1.75887,0.17815,-17.00807,1.60383,0.17785
127,12800,-16.88942,1.72616,0.17818,-16.89963,1.85005,0.17808,-17.02291,1.85240,0.17985,-17.13230,1.58603,0.17929
128,12900,-16.95667,1.95804,0.17943,-16.85239,1.84255,0.17846,-17.10073,2.16955,0.17964,-17.18702,1.49511,0.18005
129,13000,-16.95244,2.09173,0.18256,-16.97803,1.93725,0.17923,-16.95197,1.94245,0.17967,-17.23997,1.46961,0.18110
130,13100,-16.94326,2.02165,0.17921,-16.85820,2.06874,0.17857,-16.97884,1.95481,0.18071,-17.19325,1.47932,0.17866
131,13200,-16.82932,1.97936,0.17765,-16.89066,2.04569,0.17905,-16.95233,1.98082,0.17822,-17.27170,1.66401,0.17926
132,13300,-16.97383,2.07445,0.18055,-16.90830,1.84980,0.17982,-17.00630,2.23344,0.17901,-17.39618,1.55963,0.17916
133,13400,-17.05149,1.82818,0.17868,-17.03738,1.77862,0.17876,-17.03955,1.92179,0.18121,-17.44132,1.60711,0.17792
