iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
166,16700,-0.27519,1.07829,-0.48652,1.07569,-0.37723,1.12341,-0.97528,1.09852
167,16800,-0.27811,1.14556,-0.52943,1.17207,-0.37076,1.14046,-0.96984,1.05095
168,16900,-0.24302,1.06458,-0.48836,1.09172,-0.37401,1.17421,-0.95663,1.10701
169,17000,-0.25996,1.16967,-0.50665,1.10215,-0.38387,1.13700,-0.92510,1.13421
170,17100,-0.29961,1.17706,-0.53548,1.15981,-0.35498,1.10074,-0.92587,1.15687
171,17200,-0.28176,1.20493,-0.50019,1.22456,-0.34144,1.16232,-0.89863,1.16855
172,17300,-0.26876,1.12576,-0.50025,1.16140,-0.34580,1.16271,-0.90690,1.17433
173,17400,-0.25276,1.18699,-0.48912,1.20433,-0.33246,1.12254,-0.90803,1.17990
174,17500,-0.28693,1.23598,-0.46114,1.17771,-0.32742,1.18221,-0.91816,1.14687
175,17600,-0.24446,1.24519,-0.47438,1.25453,-0.31852,1.14290,-0.86572,1.16437
176,17700,-0.24218,1.27168,-0.42595,1.22178,-0.27576,1.14282,-0.93152,1.15813
177,17800,-0.24446,1.22572,-0.39591,1.19821,-0.28792,1.19412,-0.90654,1.16803
178,17900,-0.24456,1.15850,-0.44279,1.19920,-0.30562,1.17084,-0.91993,1.07438
179,18000,-0.26961,1.28637,-0.45050,1.17442,-0.29681,1.21289,-0.85384,1.20477
180,18100,-0.26976,1.23490,-0.45526,1.18773,-0.30290,1.21808,-0.87840,1.14930
181,18200,-0.28297,1.36229,-0.44801,1.22031,-0.32024,1.20936,-0.86965,1.15990
182,18300,-0.29282,1.30284,-0.45563,1.19258,-0.30894,1.26965,-0.86236,1.14323
183,18400,-0.27074,1.26954,-0.41402,1.24423,-0.30901,1.21504,-0.82285,1.20821
184,18500,-0.30565,1.28455,-0.48004,1.21711,-0.33457,1.19839,-0.78143,1.22886
185,18600,-0.27398,1.31892,-0.49503,1.27235,-0.35602,1.23741,-0.79145,1.19104
186,18700,-0.30250,1.31197,-0.49503,1.24904,-0.37474,1.31515,-0.82008,1.18204
187,18800,-0.31988,1.28215,-0.50228,1.24480,-0.30827,1.26847,-0.79304,1.20855
188,18900,-0.31171,1.25347,-0.53407,1.23626,-0.39997,1.29877,-0.76332,1.24659
189,19000,-0.25986,1.24894,-0.56328,1.30342,-0.37357,1.33360,-0.72222,1.18173
190,19100,-0.26872,1.22583,-0.56356,1.20110,-0.40044,1.27730,-0.72808,1.22917
191,19200,-0.36011,1.25450,-0.52028,1.19404,-0.38333,1.22745,-0.74284,1.16178
192,19300,-0.33300,1.24230,-0.58780,1.29446,-0.38111,1.24989,-0.70328,1.19919
193,19400,-0.32007,1.30455,-0.58731,1.27472,-0.46731,1.27631,-0.73871,1.13949
194,19500,-0.32517,1.19316,-0.59532,1.27572,-0.44754,1.22844,-0.72189,1.22316
195,19600,-0.30006,1.19516,-0.66984,1.23369,-0.43789,1.26007,-0.70982,1.16025
196,19700,-0.32465,1.20469,-0.70485,1.23774,-0.46545,1.29821,-0.70355,1.18720
197,19800,-0.30747,1.19677,-0.66948,1.20961,-0.41901,1.28251,-0.68041,1.15504
198,19900,-0.29937,1.19794,-0.66659,1.29738,-0.47603,1.24850,-0.69061,1.16160
199,20000,-0.31072,1.21639,-0.65359,1.32190,-0.40921,1.19192,-0.69869,1.11423
200,20100,-0.35201,1.22945,-0.70095,1.28168,-0.43203,1.24743,-0.70589,1.12591
201,20200,-0.31501,1.12848,-0.70664,1.33632,-0.42305,1.26501,-0.68763,1.13706
202,20300,-0.33202,1.20458,-0.69189,1.25864,-0.42628,1.20271,-0.70765,1.11769
203,20400,-0.30779,1.15641,-0.73754,1.25965,-0.37895,1.22767,-0.70108,1.11624
204,20500,-0.31194,1.18160,-0.72401,1.22282,-0.38206,1.23115,-0.70731,1.11121
