iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
100,10100,-2.74229,0.98995,0.03859,2.18081,-2.68004,0.97344,0.03896,2.17462,-2.47809,0.98738,0.03890,2.17702,-3.46159,0.93563,0.03888,2.17817
101,10200,-2.68575,0.98712,0.03819,2.17465,-2.64420,0.94918,0.03822,2.17213,-2.39798,0.93091,0.03822,2.16905,-3.46718,0.92117,0.03823,2.16441
102,10300,-2.67287,1.03980,0.03780,2.16522,-2.60063,0.93620,0.03765,2.17773,-2.41990,0.99265,0.03764,2.17689,-3.42596,0.88318,0.03773,2.16437
103,10400,-2.64903,0.98206,0.03714,2.17776,-2.58949,1.01730,0.03713,2.16006,-2.38323,1.02600,0.03700,2.16185,-3.44926,0.96019,0.03684,2.16762
104,10500,-2.60750,0.97862,0.03663,2.16680,-2.55490,1.04559,0.03649,2.17011,-2.33623,0.99373,0.03642,2.16851,-3.40014,0.91800,0.03653,2.17354
105,10600,-2.53686,0.93532,0.03583,2.16487,-2.53356,1.05518,0.03596,2.14834,-2.33261,0.90728,0.03590,2.16321,-3.38304,0.95925,0.03585,2.17816
106,10700,-2.50471,0.96663,0.03538,2.16457,-2.45135,0.97870,0.03525,2.17039,-2.26078,0.96604,0.03527,2.15263,-3.38562,0.97626,0.03535,2.16736
107,10800,-2.54256,1.02424,0.03486,2.16680,-2.44639,1.04136,0.03473,2.15836,-2.25855,0.99357,0.03472,2.17024,-3.30650,0.98884,0.03511,2.16737
108,10900,-2.48932,1.08350,0.03447,2.16020,-2.39801,0.95797,0.03448,2.16513,-2.21438,0.92961,0.03443,2.15754,-3.33759,0.94949,0.03432,2.16163
109,11000,-2.48240,0.98401,0.03414,2.14971,-2.34833,1.04479,0.03393,2.16347,-2.14581,0.96396,0.03379,2.15593,-3.32718,0.91744,0.03394,2.15329
110,11100,-2.39780,0.99675,0.03336,2.15972,-2.31686,0.96049,0.03357,2.15234,-2.13966,0.94211,0.03351,2.14664,-3.28222,1.01852,0.03342,2.15790
111,11200,-2.37782,1.06222,0.03303,2.15729,-2.29203,0.94769,0.03281,2.16531,-2.09889,1.00248,0.03307,2.14649,-3.28983,0.95239,0.03287,2.15958
112,11300,-2.34552,0.99476,0.03244,2.15510,-2.24503,0.94489,0.03245,2.15270,-2.06684,0.96821,0.03245,2.15546,-3.29549,0.95175,0.03232,2.15572
113,11400,-2.28795,0.97194,0.03220,2.14467,-2.19945,1.00283,0.03219,2.15493,-2.02731,1.04108,0.03213,2.14107,-3.25918,1.03620,0.03204,2.15351
114,11500,-2.25140,0.97009,0.03175,2.14451,-2.17015,1.03578,0.03158,2.15264,-2.08222,0.97387,0.03181,2.15643,-3.24897,0.95481,0.03160,2.13926
115,11600,-2.23401,0.99333,0.03145,2.14395,-2.12408,0.99316,0.03158,2.15057,-1.98600,1.02046,0.03140,2.15220,-3.26069,0.90029,0.03132,2.14054
116,11700,-2.16110,1.00392,0.03103,2.14710,-2.10153,0.97114,0.03084,2.14493,-1.92425,0.93867,0.03113,2.13918,-3.24854,0.92511,0.03110,2.14677
117,11800,-2.13795,0.95581,0.03057,2.14923,-2.06362,1.06510,0.03045,2.13515,-1.89789,0.97856,0.03059,2.14654,-3.20755,1.01182,0.03055,2.15485
118,11900,-2.11038,0.96211,0.03018,2.14299,-2.04214,0.93710,0.03014,2.14454,-1.91336,0.95481,0.03023,2.15168,-3.19491,0.97346,0.03027,2.13793
119,12000,-2.09341,0.96616,0.02997,2.14271,-2.00200,1.00179,0.02986,2.14991,-1.88964,0.97563,0.02993,2.14012,-3.16774,1.00228,0.03009,2.13826
120,12100,-2.09733,1.01426,0.02945,2.13212,-1.98432,1.03610,0.02944,2.14078,-1.85698,0.95976,0.02940,2.14170,-3.14241,1.01253,0.02947,2.14222
121,12200,-2.03485,0.99411,0.02952,2.12811,-1.93959,0.95852,0.02941,2.13599,-1.87896,1.03473,0.02940,2.12636,-3.16660,0.99033,0.02926,2.13480
122,12300,-2.03495,1.02176,0.02904,2.13548,-1.90186,0.99286,0.02892,2.14275,-1.81890,1.01220,0.02902,2.12961,-3.08272,1.02564,0.02911,2.13264
123,12400,-1.95643,1.10549,0.02898,2.13125,-1.88391,1.09600,0.02886,2.12923,-1.76030,0.97415,0.02876,2.12938,-3.06086,1.03223,0.02895,2.12589
124,12500,-1.96925,1.00438,0.02860,2.13484,-1.86144,0.97089,0.02855,2.13905,-1.72399,0.95754,0.02864,2.13081,-3.08235,0.96719,0.02846,2.13998
125,12600,-1.90367,1.01797,0.02833,2.13025,-1.82806,1.07507,0.02828,2.13009,-1.69433,0.96213,0.02831,2.12449,-3.04066,1.09544,0.02831,2.13622
126,12700,-1.92087,1.09945,0.02812,2.12508,-1.80261,1.09329,0.02797,2.13134,-1.69446,1.00654,0.02815,2.12184,-3.00684,1.07906,0.02823,2.13075
127,12800,-1.88157,1.11885,0.02790,2.13549,-1.79901,1.03092,0.02783,2.13251,-1.68114,1.05271,0.02794,2.12956,-3.00402,1.11380,0.02790,2.12340
128,12900,-1.89102,1.02157,0.02764,2.11997,-1.78956,1.02744,0.02768,2.12071,-1.64790,1.00424,0.02761,2.12010,-2.96739,1.07413,0.02770,2.11649
129,13000,-1.89385,1.08063,0.02774,2.11865,-1.76364,1.05787,0.02763,2.12177,-1.65348,1.04370,0.02733,2.12687,-2.92195,1.10191,0.02749,2.12792
130,13100,-1.83832,1.05780,0.02740,2.11887,-1.74983,1.11515,0.02749,2.11820,-1.62836,1.00713,0.02726,2.12585,-2.91059,1.08729,0.02739,2.12031
131,13200,-1.83382,1.04170,0.02718,2.11585,-1.73838,1.04245,0.02739,2.12864,-1.63248,1.06354,0.02714,2.11663,-2.85499,1.11780,0.02714,2.12537
132,13300,-1.90226,1.09895,0.02691,2.11507,-1.73517,1.12938,0.02694,2.12057,-1.64850,1.05751,0.02695,2.12144,-2.87403,1.19085,0.02693,2.11949
133,13400,-1.92267,1.11069,0.02687,2.11606,-1.75929,1.03081,0.02696,2.10835,-1.62470,1.03900,0.02685,2.10683,-2.80835,1.16947,0.02710,2.11354
134,13500,-1.85138,1.18142,0.02667,2.11133,-1.69601,1.11862,0.02680,2.10946,-1.64667,1.11366,0.02684,2.11535,-2.75415,1.15479,0.02702,2.10374
135,13600,-1.82542,1.15923,0.02640,2.11471,-1.70774,1.13171,0.02654,2.09928,-1.62845,1.11305,0.02671,2.10864,-2.81518,1.15921,0.02679,2.11740
136,13700,-1.79604,1.12457,0.02655,2.10410,-1.68419,1.14808,0.02654,2.10921,-1.61038,1.04464,0.02637,2.10451,-2.74119,1.25997,0.02647,2.10374
137,13800,-1.77289,1.16820,0.02614,2.11674,-1.66894,1.10085,0.02637,2.10430,-1.59584,1.06657,0.02656,2.10998,-2.73535,1.24913,0.02659,2.11222
138,13900,-1.74594,1.10118,0.02634,2.10488,-1.66097,1.20892,0.02616,2.11240,-1.55134,1.02517,0.02612,2.11189,-2.65671,1.20569,0.02613,2.10742
139,14000,-1.71482,1.23560,0.02607,2.10892,-1.64543,1.12569,0.02595,2.10130,-1.57740,1.10908,0.02617,2.10880,-2.75245,1.22077,0.02595,2.10166
140,14100,-1.72156,1.11864,0.02602,2.09245,-1.62630,1.10363,0.02578,2.10650,-1.55703,1.10603,0.02588,2.10223,-2.70730,1.20867,0.02612,2.10541
141,14200,-1.67902,1.09868,0.02592,2.10279,-1.63952,1.21737,0.02587,2.10009,-1.53542,1.14205,0.02569,2.09869,-2.72700,1.14544,0.02596,2.09811
142,14300,-1.64793,1.15794,0.02556,2.09628,-1.62068,1.14469,0.02593,2.10538,-1.52028,1.11861,0.02576,2.10079,-2.71139,1.16005,0.02563,2.09359
143,14400,-1.65147,1.14151,0.02555,2.10389,-1.60501,1.07936,0.02579,2.09569,-1.51923,1.14538,0.02556,2.10366,-2.69942,1.19955,0.02579,2.09778
144,14500,-1.62481,1.21394,0.02554,2.09777,-1.59533,1.13201,0.02567,2.10507,-1.47573,1.16310,0.02560,2.08891,-2.67452,1.16686,0.02561,2.09722
145,14600,-1.55805,1.15055,0.02537,2.09460,-1.51318,1.05079,0.02552,2.08928,-1.45064,1.15439,0.02572,2.09290,-2.62753,1.12916,0.02554,2.08622
146,14700,-1.55801,1.16714,0.02553,2.08849,-1.53494,1.13743,0.02561,2.09139,-1.44060,1.17556,0.02522,2.08306,-2.67029,1.14697,0.02553,2.09291
147,14800,-1.51880,1.17437,0.02575,2.08338,-1.51938,1.09026,0.02528,2.08838,-1.43458,1.18385,0.02541,2.08799,-2.64204,1.13612,0.02539,2.09326
