iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
94,9500,-6.18062,0.97496,0.07263,1.59548,-6.28854,1.09047,0.07273,1.59548,-6.28109,1.07525,0.07401,1.57661,-5.74395,0.95521,0.06432,1.59373
95,9600,-6.24668,1.16489,0.07211,1.59524,-6.19007,1.03929,0.07195,1.59529,-6.23612,1.05188,0.07311,1.57793,-5.70048,1.04937,0.06335,1.59358
96,9700,-6.07556,1.00809,0.07142,1.59541,-6.10711,1.04186,0.07098,1.59484,-6.16062,1.01944,0.07235,1.57737,-5.65188,1.04365,0.06276,1.59341
97,9800,-6.04192,1.06640,0.07011,1.59544,-6.04374,1.07215,0.06997,1.59516,-6.07035,0.95815,0.07109,1.57623,-5.66719,0.92936,0.06167,1.59309
98,9900,-5.97895,1.04148,0.06950,1.59454,-5.92699,0.97491,0.06922,1.59506,-5.95527,1.03813,0.07056,1.57621,-5.60413,0.95663,0.06107,1.59331
99,10000,-5.94209,0.99958,0.06856,1.59451,-5.84801,1.05161,0.06833,1.59424,-5.97727,1.08765,0.06955,1.57672,-5.54359,0.91543,0.06028,1.59406
100,10100,-5.85663,1.08424,0.06810,1.59474,-5.78189,1.07087,0.06782,1.59491,-5.78653,1.08429,0.06852,1.57665,-5.49884,1.02791,0.05959,1.59252
101,10200,-5.77240,0.99292,0.06728,1.59439,-5.73813,0.96340,0.06705,1.59508,-5.68849,0.98669,0.06761,1.57695,-5.47342,0.94761,0.05856,1.59319
102,10300,-5.68688,1.08786,0.06633,1.59415,-5.67286,1.04506,0.06644,1.59487,-5.71856,1.03940,0.06708,1.57581,-5.42029,1.00712,0.05800,1.59330
103,10400,-5.63291,1.04263,0.06627,1.59450,-5.58331,1.03209,0.06569,1.59530,-5.56935,1.10164,0.06645,1.57476,-5.39874,1.12204,0.05755,1.59352
104,10500,-5.54297,0.97796,0.06544,1.59230,-5.49781,1.01176,0.06520,1.59496,-5.50914,0.99734,0.06586,1.57470,-5.38982,0.95763,0.05678,1.59306
105,10600,-5.51916,0.96856,0.06479,1.59300,-5.44397,1.13754,0.06448,1.59397,-5.44006,0.98807,0.06532,1.57586,-5.39150,0.96339,0.05629,1.59299
