iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
152,15300,-23.53058,2.75107,0.34240,-23.48259,2.71481,0.33508,-24.59693,3.10419,0.33117,-18.42613,2.52715,0.26427
153,15400,-23.58867,2.76826,0.34453,-23.47922,2.67329,0.33132,-24.69872,3.23299,0.33269,-18.19324,2.47812,0.26445
154,15500,-23.52621,2.96483,0.34544,-23.55565,2.79420,0.33302,-24.69158,2.87199,0.33344,-18.21355,2.35820,0.26440
155,15600,-23.71280,2.72330,0.34474,-23.67025,3.40447,0.33576,-24.69665,3.05194,0.33218,-18.15558,2.56709,0.26503
156,15700,-23.68140,2.72490,0.34360,-23.67688,2.84424,0.33550,-24.69789,3.10314,0.33161,-18.29633,2.31801,0.26228
157,15800,-23.53154,2.70310,0.34369,-23.71226,2.74950,0.33561,-24.71669,3.19742,0.33008,-18.27977,2.42910,0.26519
158,15900,-23.54946,2.73640,0.34403,-23.62558,2.73130,0.33395,-24.62242,3.35296,0.33157,-18.27639,2.46918,0.26496
159,16000,-23.65835,2.98665,0.34374,-23.69835,3.19412,0.33463,-24.60851,3.35734,0.33051,-18.32126,2.42787,0.26582
160,16100,-23.56771,3.05532,0.34388,-23.65213,2.99122,0.33411,-24.66039,2.97146,0.33044,-18.41311,2.40797,0.26448
161,16200,-23.76719,3.47512,0.34636,-23.76860,3.15247,0.33399,-24.74977,3.38833,0.33332,-18.35200,2.73811,0.26593
162,16300,-23.73820,3.10484,0.34520,-23.88004,3.03689,0.33479,-24.72594,3.12783,0.33112,-18.33001,2.53186,0.26287
163,16400,-23.74701,2.86165,0.34439,-23.83835,3.13279,0.33292,-24.87699,3.20358,0.33308,-18.42167,2.54238,0.26662
164,16500,-23.82482,3.37952,0.34445,-23.97843,3.42607,0.33536,-24.88735,3.14148,0.33151,-18.38566,2.71863,0.26485
165,16600,-23.85961,3.05586,0.34445,-23.85110,3.23517,0.33170,-24.90028,4.18586,0.33273,-18.50670,2.50016,0.26438
166,16700,-23.79993,3.11305,0.34246,-23.84684,3.00801,0.33198,-24.89496,3.20625,0.33156,-18.54406,2.39535,0.26576
167,16800,-23.85186,3.53936,0.34685,-23.86477,3.84956,0.33115,-24.96918,3.18570,0.33053,-18.53193,2.65660,0.26533
168,16900,-23.93887,3.29913,0.34384,-24.08552,3.64652,0.33217,-24.97269,3.34017,0.33131,-18.52436,2.94568,0.26580
169,17000,-24.09719,3.92703,0.34225,-24.02967,4.16214,0.33206,-25.15284,3.16474,0.33399,-18.61561,2.47622,0.26505
170,17100,-24.10482,3.05884,0.34408,-24.01725,3.09198,0.33251,-25.20000,3.52843,0.33349,-18.56979,2.72768,0.26333
171,17200,-24.02670,3.16006,0.34231,-24.00019,3.32711,0.33246,-25.21138,3.24251,0.33147,-18.61984,2.61051,0.26721
172,17300,-24.04044,3.34527,0.34245,-24.21869,3.35518,0.33249,-25.24167,3.21895,0.33167,-18.54658,2.71224,0.26231
173,17400,-24.22098,3.84191,0.34361,-24.09559,3.45812,0.33243,-25.22041,3.29802,0.33129,-18.55301,2.56973,0.26278
174,17500,-24.14104,3.44984,0.34239,-24.12185,3.54670,0.33087,-25.42034,3.65093,0.33304,-18.65058,2.62338,0.26362
