iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
221,22200,-7.09145,0.19830,0.07301,0.96652,-7.47057,0.16125,0.07168,0.96693
222,22300,-6.99687,0.17621,0.07235,0.95709,-7.48956,0.19146,0.07335,0.95353
223,22400,-7.05956,0.20299,0.07129,0.94977,-7.44536,0.18405,0.07306,0.96003
224,22500,-7.08346,0.16823,0.07141,0.95152,-7.51336,0.18158,0.07202,0.94855
225,22600,-7.08128,0.21142,0.07036,0.94180,-7.53057,0.16779,0.07280,0.94950
226,22700,-7.03772,0.24186,0.07173,0.93695,-7.45727,0.20043,0.07411,0.93617
227,22800,-7.03120,0.26884,0.07322,0.93684,-7.50579,0.17253,0.07238,0.93862
228,22900,-7.08365,0.20530,0.07442,0.93584,-7.49252,0.14879,0.07425,0.93429
229,23000,-7.10586,0.27400,0.07384,0.92802,-7.55881,0.16788,0.07348,0.93714
230,23100,-7.11895,0.25003,0.07345,0.92547,-7.52466,0.14654,0.07469,0.92694
231,23200,-7.11989,0.23390,0.07348,0.92115,-7.50610,0.18619,0.07463,0.91776
232,23300,-7.14622,0.23719,0.07308,0.92236,-7.57618,0.13406,0.07279,0.91211
233,23400,-7.11309,0.28065,0.07343,0.90973,-7.56902,0.17937,0.07379,0.90788
234,23500,-7.15561,0.18123,0.07422,0.90867,-7.59384,0.15658,0.07403,0.90745
235,23600,-7.15510,0.22045,0.07424,0.90572,-7.57648,0.17328,0.07461,0.90247
236,23700,-7.12545,0.20671,0.07272,0.89372,-7.61909,0.15665,0.07519,0.89889
237,23800,-7.12017,0.17776,0.07373,0.89344,-7.58676,0.18645,0.07298,0.89524
238,23900,-7.13982,0.24185,0.07366,0.89270,-7.60381,0.17408,0.07445,0.88911
239,24000,-7.17496,0.26997,0.07453,0.88585,-7.66126,0.15852,0.07362,0.88346
240,24100,-7.08658,0.22434,0.07293,0.87581,-7.61522,0.15662,0.07361,0.88171
241,24200,-7.13157,0.20561,0.07434,0.87638,-7.60277,0.13759,0.07472,0.87276
242,24300,-7.15954,0.19947,0.07519,0.87454,-7.62646,0.16875,0.07404,0.87065
243,24400,-7.13362,0.19080,0.07407,0.86833,-7.58593,0.17177,0.07576,0.87077
244,24500,-7.12790,0.20895,0.07584,0.86741,-7.62008,0.18417,0.07478,0.86827
245,24600,-7.16327,0.18435,0.07331,0.86063,-7.65936,0.18917,0.07482,0.86253
246,24700,-7.18111,0.20694,0.07323,0.85783,-7.64661,0.14675,0.07301,0.86022
247,24800,-7.19885,0.20722,0.07237,0.85907,-7.63525,0.21109,0.07498,0.85730
248,24900,-7.16298,0.24020,0.07330,0.84990,-7.71147,0.16232,0.07326,0.85516
