iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
108,10900,-22.43148,1.53014,0.31778,-26.92706,1.10693,0.35849,-23.70711,1.46751,0.33576,-20.84068,1.35629,0.27146
109,11000,-21.96743,1.50049,0.31306,-26.63441,1.10221,0.35248,-23.52725,1.29533,0.33084,-20.86435,1.25546,0.26829
110,11100,-21.72959,1.34862,0.31112,-26.35746,1.06891,0.34764,-23.07617,1.19076,0.32806,-20.74852,2.76697,0.26470
111,11200,-21.65412,1.15635,0.30743,-26.10935,1.10313,0.34231,-22.99049,1.28351,0.32439,-20.69625,1.55727,0.26126
112,11300,-21.44825,1.22459,0.30347,-25.83512,1.16124,0.33679,-22.79055,1.26956,0.32073,-20.72543,1.54981,0.25789
113,11400,-21.43048,1.57647,0.29904,-25.52694,1.13608,0.33192,-22.43826,1.60257,0.31725,-20.38523,1.31076,0.25427
114,11500,-21.09566,1.19463,0.29623,-25.27646,1.12530,0.32885,-22.44016,1.84354,0.31311,-20.19753,1.24810,0.25258
115,11600,-20.92914,1.41963,0.29316,-25.05707,1.15375,0.32240,-22.24902,1.19887,0.31080,-19.92670,1.48821,0.24855
116,11700,-20.82149,1.24806,0.28865,-24.79377,1.09681,0.31884,-22.07569,1.12437,0.30649,-19.89091,1.56026,0.24625
117,11800,-20.77783,1.34366,0.28363,-24.51656,1.02621,0.31395,-21.87303,1.23186,0.30248,-19.54421,1.39591,0.24348
118,11900,-20.43395,1.26865,0.28233,-24.25806,1.04759,0.30965,-21.74674,1.24539,0.30178,-19.48910,1.16706,0.24038
119,12000,-20.32172,1.38648,0.27929,-24.03410,1.09716,0.30478,-21.46506,1.19608,0.29627,-19.49828,1.95608,0.23803
120,12100,-20.09226,1.28031,0.27605,-23.77363,1.07443,0.29996,-21.45648,1.26003,0.29273,-19.26279,1.33260,0.23518
121,12200,-19.93370,1.48893,0.27123,-23.51773,1.10478,0.29442,-21.20569,1.15557,0.28892,-19.11505,1.03300,0.23213
122,12300,-19.67522,1.47345,0.27004,-23.28045,1.03289,0.29187,-20.91308,1.21487,0.28497,-18.81756,1.01247,0.23091
123,12400,-19.47980,1.20015,0.26475,-23.05126,1.10499,0.28829,-20.65432,1.18905,0.28269,-18.63015,1.03371,0.23017
124,12500,-19.42115,1.37423,0.26160,-22.83980,1.04394,0.28432,-20.43089,1.20551,0.27941,-18.42097,0.97075,0.22632
125,12600,-19.13937,1.23162,0.25930,-22.59502,1.11017,0.27979,-20.19649,1.14744,0.27624,-18.18878,0.97567,0.22619
126,12700,-18.80606,1.34141,0.25677,-22.36689,1.02853,0.27748,-19.92318,1.20359,0.27245,-18.06121,1.02614,0.22357
127,12800,-18.70257,1.20711,0.25443,-22.14621,1.12607,0.27375,-19.71540,1.19069,0.26901,-17.82460,1.05002,0.22180
128,12900,-18.49946,1.14150,0.25263,-21.94223,1.01392,0.26817,-19.50991,1.15549,0.26812,-17.80424,1.60975,0.21982
129,13000,-18.42934,1.02296,0.24854,-21.69124,1.05700,0.26495,-19.38825,1.18661,0.26486,-17.71647,1.24298,0.21794
130,13100,-18.28385,1.11865,0.24621,-21.47048,1.14566,0.26198,-19.28277,1.12887,0.26078,-17.42984,1.26594,0.21651
131,13200,-17.95060,1.17496,0.24300,-21.27995,1.13320,0.26014,-18.91007,1.19087,0.25709,-17.33271,1.46706,0.21350
132,13300,-17.82298,1.23731,0.24055,-21.06891,1.11613,0.25601,-18.76143,1.19798,0.25417,-17.15047,1.23440,0.21264
133,13400,-17.65035,0.96206,0.23631,-20.84353,1.05997,0.25234,-18.58781,1.19309,0.25216,-17.10384,1.29785,0.21076
134,13500,-17.54464,1.00573,0.23445,-20.64196,1.09571,0.24963,-18.41371,1.07290,0.24768,-16.96786,1.24839,0.20955
135,13600,-17.31127,1.11952,0.23110,-20.46356,1.01501,0.24613,-18.19965,1.20583,0.24649,-16.88398,1.16074,0.20788
136,13700,-17.35401,1.26054,0.23091,-20.26274,0.96336,0.24204,-18.01498,1.23980,0.24399,-16.60097,1.19724,0.20652
137,13800,-17.18934,1.28290,0.22752,-20.05473,1.07694,0.24032,-17.82465,1.11720,0.24048,-16.54930,0.95678,0.20514
138,13900,-16.90406,1.28828,0.22575,-19.86571,1.06459,0.23708,-17.67568,1.00401,0.23864,-16.36949,0.93516,0.20350
139,14000,-16.70181,1.30329,0.22364,-19.69671,1.02536,0.23509,-17.48922,1.01671,0.23608,-16.26328,1.06699,0.20265
140,14100,-16.53373,1.28458,0.22222,-19.52247,1.11734,0.23212,-17.31191,1.01435,0.23252,-16.16011,0.95444,0.20133
141,14200,-16.53022,1.08208,0.22035,-19.29046,1.06963,0.22896,-17.11654,1.12436,0.22872,-16.08570,1.46081,0.19888
142,14300,-16.40422,1.03756,0.21776,-19.08205,1.01251,0.22585,-16.93364,1.01430,0.22678,-15.93978,1.06099,0.19876
143,14400,-16.25364,1.04382,0.21558,-18.89356,1.12321,0.22401,-16.76856,1.13308,0.22613,-15.72621,0.93197,0.19785
144,14500,-16.09354,1.06165,0.21362,-18.49963,1.49433,0.22032,-16.61811,1.05136,0.22197,-15.66103,0.87300,0.19567
145,14600,-15.91143,1.05883,0.21119,-18.27371,1.14787,0.22018,-16.44100,1.11408,0.22170,-15.64682,0.91903,0.19315
146,14700,-15.74490,1.08000,0.21163,-18.15065,1.21475,0.21648,-16.27593,1.01169,0.21855,-15.45687,0.97616,0.19304
147,14800,-15.58750,1.20217,0.20856,-17.84775,1.32754,0.21474,-16.09582,1.01344,0.21747,-15.25841,0.90032,0.19236
148,14900,-15.43524,1.04632,0.20781,-17.85713,1.44101,0.21342,-15.94222,1.01942,0.21540,-15.11561,0.85468,0.19096
149,15000,-15.28334,1.06067,0.20595,-17.57032,1.49347,0.21078,-15.79738,1.08964,0.21305,-15.01564,0.95331,0.18972
150,15100,-15.14448,1.16836,0.20486,-17.39767,1.15030,0.20916,-15.67507,1.15637,0.21132,-14.90998,0.87278,0.18853
151,15200,-14.98064,0.93607,0.20285,-17.08335,1.46673,0.20758,-15.54150,1.02195,0.20907,-14.79518,0.89212,0.18769
152,15300,-14.84468,1.05083,0.20162,-16.95543,1.12661,0.20604,-15.39042,1.17118,0.20752,-14.61458,0.88945,0.18678
153,15400,-14.70186,1.06514,0.20026,-16.75449,1.44847,0.20452,-15.22874,1.09709,0.20475,-14.46552,0.91066,0.18469
154,15500,-14.57019,1.02824,0.20019,-16.59965,1.39800,0.20275,-15.07196,1.20332,0.20340,-14.35016,0.89561,0.18423
155,15600,-14.41463,1.01194,0.19755,-16.47863,1.61405,0.20085,-14.94830,0.96287,0.20126,-14.22813,0.96081,0.18309
156,15700,-14.29236,1.08677,0.19570,-16.14331,1.39843,0.19949,-14.83226,1.15446,0.20129,-14.15160,0.89433,0.18136
157,15800,-14.13645,1.07133,0.19496,-15.92194,1.19345,0.19732,-14.69857,1.06232,0.19958,-14.04887,0.91166,0.18052
158,15900,-14.02091,1.04605,0.19443,-15.83499,1.11986,0.19635,-14.53191,0.98282,0.19742,-13.87854,0.87903,0.17929
159,16000,-13.98049,1.09353,0.19237,-15.67474,1.10938,0.19592,-14.38703,1.07657,0.19696,-13.82285,0.91033,0.17878
160,16100,-13.85107,1.07701,0.19130,-15.47802,1.06922,0.19329,-14.27935,1.04306,0.19503,-13.73113,0.87509,0.17718
161,16200,-13.72360,1.07459,0.18998,-15.28749,1.05308,0.19300,-14.15946,1.11446,0.19385,-13.59027,0.89702,0.17718
162,16300,-13.57333,1.03507,0.18914,-15.11570,1.07160,0.19083,-14.03188,1.03538,0.19121,-13.61879,0.92375,0.17584
163,16400,-13.42404,1.02541,0.18729,-14.94900,1.04191,0.18950,-13.92818,0.99875,0.19137,-13.47815,0.85525,0.17516
164,16500,-13.30470,1.09430,0.18719,-14.77531,1.16417,0.18745,-13.79396,1.06404,0.18905,-13.41740,0.92971,0.17427
165,16600,-13.25058,1.10950,0.18484,-14.61872,1.10066,0.18712,-13.64801,1.03268,0.18827,-13.32468,0.81214,0.17298
166,16700,-13.14382,1.03304,0.18454,-14.43368,1.09320,0.18583,-13.52818,1.10614,0.18726,-13.13295,0.86358,0.17154
167,16800,-13.01619,1.01080,0.18324,-14.31120,1.13888,0.18405,-13.39949,1.00839,0.18521,-13.05841,0.91519,0.17049
