iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
171,17200,1.00947,0.16694,1.04871,0.16791,1.00309,0.16798,0.97668,0.15568
172,17300,0.98841,0.16755,1.03765,0.16597,0.97592,0.16610,1.00469,0.15427
173,17400,0.98002,0.16541,1.03626,0.16636,1.00123,0.16575,1.01275,0.15346
174,17500,0.96680,0.16504,0.97057,0.16524,1.04233,0.16370,0.99295,0.15286
175,17600,0.98075,0.16390,0.99131,0.16354,0.99935,0.16397,0.96848,0.15253
176,17700,1.03077,0.16203,1.04113,0.16268,1.13521,0.16308,0.98264,0.15216
177,17800,0.98506,0.16244,0.98980,0.16221,0.97104,0.16195,0.99729,0.15115
178,17900,1.01923,0.16050,1.00364,0.16232,1.02690,0.16074,0.96271,0.15052
179,18000,0.99727,0.15930,1.02123,0.16095,0.99004,0.16104,0.99615,0.14928
180,18100,1.00975,0.15921,0.96035,0.16073,1.00166,0.15870,0.95037,0.14861
181,18200,0.97792,0.15927,0.97152,0.15857,1.00914,0.15822,0.94734,0.14734
182,18300,0.98789,0.15718,1.02970,0.15706,1.04358,0.15821,0.99005,0.14710
183,18400,0.99005,0.15639,0.96439,0.15751,1.05865,0.15675,0.94136,0.14594
184,18500,0.98330,0.15541,0.99043,0.15659,1.05293,0.15611,0.95517,0.14478
185,18600,0.99618,0.15490,1.04522,0.15573,1.08479,0.15507,0.94384,0.14499
186,18700,1.00055,0.15437,1.02493,0.15419,1.09087,0.15356,0.97640,0.14426
187,18800,1.02554,0.15375,1.00244,0.15412,0.98573,0.15338,0.98720,0.14378
188,18900,1.02376,0.15247,0.98354,0.15232,1.03515,0.15360,0.94567,0.14336
189,19000,1.05376,0.15080,1.02455,0.15215,1.02947,0.15157,1.03265,0.14213
190,19100,1.04596,0.15141,0.96533,0.15112,1.09767,0.15059,0.96609,0.14162
191,19200,1.03134,0.14972,1.00659,0.15131,1.06296,0.15005,0.96354,0.13984
192,19300,1.03361,0.14930,1.02897,0.15112,1.08522,0.14923,0.96633,0.13987
193,19400,1.00257,0.14903,1.02660,0.14969,1.07985,0.14832,0.98811,0.13929
194,19500,1.03129,0.14816,0.99970,0.14896,1.07202,0.14922,1.01912,0.13838
195,19600,1.04627,0.14671,0.99150,0.14749,1.13365,0.14735,1.04670,0.13693
196,19700,1.03338,0.14675,0.97096,0.14709,1.11818,0.14725,0.99671,0.13734
197,19800,0.95162,0.14729,1.02147,0.14632,1.09300,0.14566,0.91762,0.13674
198,19900,1.00160,0.14629,1.00354,0.14537,1.11498,0.14575,0.95561,0.13608
199,20000,1.07026,0.14399,1.05398,0.14578,1.15858,0.14337,0.98079,0.13552
200,20100,1.07821,0.14315,1.05384,0.14464,1.15804,0.14451,0.99521,0.13460
201,20200,0.99275,0.14309,1.05460,0.14335,1.14599,0.14337,0.99927,0.13452
202,20300,1.02759,0.14252,1.07601,0.14307,1.15798,0.14231,0.94900,0.13391
203,20400,1.02012,0.14198,1.05057,0.14276,1.15542,0.14121,0.99843,0.13320
204,20500,1.03651,0.14096,1.02476,0.14189,1.13851,0.14025,0.99236,0.13262
205,20600,1.06864,0.14068,1.05108,0.14167,1.15459,0.14071,0.96184,0.13242
206,20700,1.06339,0.13988,1.01646,0.14073,1.15952,0.14004,0.94255,0.13120
207,20800,1.08280,0.13925,1.09582,0.13958,1.13499,0.13958,1.01607,0.13077
208,20900,1.12694,0.13881,1.06383,0.14012,1.18715,0.13966,0.97034,0.13056
209,21000,1.11192,0.13783,1.00296,0.13854,1.20439,0.13792,0.97743,0.12978
210,21100,1.12041,0.13800,1.08734,0.13837,1.15029,0.13737,0.98246,0.12893
211,21200,1.13573,0.13715,1.11647,0.13826,1.25783,0.13706,0.99382,0.12811
212,21300,1.13767,0.13665,1.07172,0.13773,1.22989,0.13573,1.00135,0.12822
213,21400,1.08217,0.13577,1.11045,0.13671,1.23763,0.13597,1.01288,0.12766
214,21500,1.15968,0.13554,1.06256,0.13611,1.22700,0.13512,1.02286,0.12631
215,21600,1.13712,0.13534,1.10790,0.13568,1.25864,0.13446,1.01127,0.12651
216,21700,1.12596,0.13417,1.06744,0.13543,1.25063,0.13413,1.04604,0.12643
217,21800,1.11790,0.13378,1.12657,0.13480,1.25445,0.13351,1.03321,0.12569
218,21900,1.18783,0.13293,1.07702,0.13380,1.31197,0.13364,1.02842,0.12437
219,22000,1.13932,0.13279,1.11455,0.13311,1.31687,0.13209,1.03628,0.12422
220,22100,1.17724,0.13242,1.08237,0.13213,1.29181,0.13210,1.03914,0.12402
221,22200,1.14142,0.13175,1.14822,0.13296,1.24129,0.13137,0.99849,0.12380
222,22300,1.15730,0.13225,1.06763,0.13130,1.31617,0.13092,1.08473,0.12258
223,22400,1.22865,0.13063,1.11171,0.13132,1.26389,0.13076,1.05676,0.12262
224,22500,1.17466,0.12980,1.12511,0.12983,1.33080,0.12982,1.05348,0.12198
225,22600,1.16754,0.12883,1.16141,0.13026,1.26543,0.12978,1.07518,0.12188
226,22700,1.17672,0.12947,1.23898,0.12897,1.31010,0.12971,1.07393,0.12100
227,22800,1.23144,0.12825,1.19483,0.12919,1.32809,0.12872,1.06811,0.12078
228,22900,1.19498,0.12791,1.20060,0.12813,1.38885,0.12801,1.03023,0.12039
229,23000,1.17355,0.12784,1.17581,0.12795,1.34859,0.12735,1.10387,0.11931
230,23100,1.23648,0.12627,1.19503,0.12766,1.38631,0.12639,1.10040,0.11882
231,23200,1.26312,0.12597,1.15673,0.12828,1.40961,0.12670,1.04155,0.11830
232,23300,1.26768,0.12564,1.20417,0.12658,1.43063,0.12607,1.12973,0.11880
233,23400,1.23921,0.12502,1.27165,0.12599,1.38228,0.12515,1.09740,0.11756
234,23500,1.29997,0.12441,1.18387,0.12524,1.38474,0.12468,1.10679,0.11771
235,23600,1.28563,0.12499,1.24087,0.12513,1.39119,0.12354,1.11785,0.11700
236,23700,1.28162,0.12406,1.27044,0.12449,1.41737,0.12357,1.09256,0.11685
237,23800,1.28032,0.12316,1.31127,0.12393,1.42942,0.12296,1.10925,0.11576
238,23900,1.33077,0.12217,1.23695,0.12292,1.47785,0.12258,1.09568,0.11575
239,24000,1.30407,0.12209,1.26536,0.12314,1.40949,0.12216,1.11006,0.11556
240,24100,1.32554,0.12167,1.27300,0.12220,1.50366,0.12117,1.10393,0.11473
241,24200,1.30787,0.12156,1.29802,0.12199,1.48050,0.12185,1.10431,0.11402
242,24300,1.26934,0.12104,1.29165,0.12188,1.44777,0.12148,1.15512,0.11387
243,24400,1.31718,0.12023,1.35207,0.12081,1.48919,0.12037,1.10525,0.11382
244,24500,1.29757,0.11928,1.31505,0.12033,1.44986,0.12038,1.16284,0.11279
245,24600,1.27171,0.11911,1.26019,0.12015,1.44732,0.11918,1.12892,0.11231
246,24700,1.32593,0.11907,1.30039,0.12005,1.41197,0.11880,1.13066,0.11228
247,24800,1.37287,0.11903,1.34293,0.11912,1.46909,0.11833,1.11991,0.11190
248,24900,1.38300,0.11858,1.38227,0.11870,1.47886,0.11804,1.15105,0.11105
