iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
214,21500,-17.96457,1.92442,0.18469,-18.33116,1.47156,0.18523
215,21600,-17.91656,1.67941,0.18478,-18.27075,1.67771,0.18643
216,21700,-17.79917,1.68487,0.18589,-18.20958,1.63569,0.18447
217,21800,-17.82127,1.65024,0.18615,-18.22657,1.65877,0.18512
218,21900,-17.74043,2.18533,0.18640,-18.12159,1.45789,0.18287
219,22000,-17.60928,1.79200,0.18446,-18.08360,1.88278,0.18552
220,22100,-17.55073,1.73856,0.18578,-17.99832,1.62424,0.18354
221,22200,-17.55819,1.64051,0.18467,-18.00804,1.50790,0.18522
222,22300,-17.52064,1.62777,0.18471,-17.88514,1.64656,0.18217
223,22400,-17.47344,1.57499,0.18410,-17.96383,1.65699,0.18459
224,22500,-17.40143,1.84077,0.18617,-17.89392,1.48778,0.18635
225,22600,-17.48824,1.61481,0.18294,-17.76239,1.78072,0.18421
226,22700,-17.21594,1.90807,0.18381,-17.75618,1.75011,0.18389
227,22800,-17.25902,1.69056,0.18083,-17.66205,1.45389,0.18290
228,22900,-17.21453,1.61012,0.18408,-17.62630,1.37890,0.18281
229,23000,-17.19782,1.55151,0.18157,-17.55445,1.52238,0.18300
230,23100,-17.20468,1.37041,0.18123,-17.50957,1.62892,0.18128
231,23200,-17.06966,1.74392,0.18338,-17.44425,1.67623,0.18254
232,23300,-17.04024,1.50428,0.18297,-17.41041,1.51145,0.17995
233,23400,-16.94160,1.75362,0.18085,-17.29445,1.51229,0.18146
234,23500,-16.88427,1.74198,0.18086,-17.28523,1.57987,0.18269
235,23600,-16.94026,1.60740,0.18351,-17.33133,1.59713,0.18237
236,23700,-16.92365,1.54039,0.18231,-17.19351,1.72967,0.17984
237,23800,-16.91637,1.60148,0.18145,-17.13087,1.69863,0.18002
238,23900,-16.84227,1.59497,0.18112,-17.08277,1.46755,0.18116
239,24000,-16.82923,1.56194,0.18075,-16.99343,1.61280,0.17950
240,24100,-16.71884,1.87801,0.18323,-16.99833,1.59471,0.18162
241,24200,-16.76010,1.47675,0.18128,-16.97269,1.68471,0.18073
242,24300,-16.65193,1.66982,0.18050,-16.85677,1.65650,0.17971
243,24400,-16.56920,1.61403,0.17843,-16.76762,1.64533,0.17812
244,24500,-16.52074,1.55340,0.18137,-16.73560,1.69602,0.17929
245,24600,-16.52415,1.69489,0.18093,-16.73608,1.49209,0.17986
246,24700,-16.51445,1.55880,0.18001,-16.69772,1.55449,0.18141
247,24800,-16.42585,1.72066,0.17917,-16.59508,1.58524,0.17866
248,24900,-16.42228,1.84338,0.17906,-16.60558,1.72914,0.17938
