iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
193,19400,1.28546,0.51050,1.27561,0.50861,1.30270,0.50735,0.97742,0.32189
194,19500,1.39634,0.50790,1.26846,0.50585,1.27089,0.50435,0.99857,0.31942
195,19600,1.26614,0.50533,1.26062,0.50294,1.28790,0.50162,0.94921,0.31712
196,19700,1.29889,0.50173,1.27379,0.49956,1.25557,0.49881,1.09465,0.31435
197,19800,1.28192,0.49961,1.30684,0.49679,1.22571,0.49646,0.96613,0.31160
198,19900,1.28117,0.49571,1.27315,0.49430,1.33474,0.49268,0.98735,0.30883
199,20000,1.32023,0.49377,1.33416,0.49155,1.44414,0.48902,1.00960,0.30617
200,20100,1.28404,0.49135,1.28868,0.48867,1.27126,0.48665,0.96620,0.30328
201,20200,1.28750,0.48760,1.35334,0.48642,1.31195,0.48496,0.99980,0.30103
202,20300,1.27785,0.48519,1.35547,0.48210,1.43736,0.48092,1.00408,0.29813
203,20400,1.35641,0.48196,1.26533,0.48000,1.34054,0.47847,1.05514,0.29603
204,20500,1.33396,0.47975,1.38559,0.47680,1.29613,0.47595,1.04846,0.29385
205,20600,1.32555,0.47692,1.31668,0.47364,1.24677,0.47355,0.99798,0.29105
206,20700,1.26484,0.47374,1.36795,0.47106,1.33833,0.46977,0.99899,0.28815
207,20800,1.38630,0.47112,1.34577,0.46866,1.23164,0.46692,1.00161,0.28598
208,20900,1.33557,0.46818,1.22228,0.46550,1.38615,0.46398,1.06263,0.28366
209,21000,1.37112,0.46560,1.27013,0.46341,1.29686,0.46102,0.96702,0.28126
210,21100,1.25040,0.46314,1.24803,0.45938,1.34142,0.45902,1.04354,0.27847
211,21200,1.27479,0.45972,1.28565,0.45691,1.39624,0.45544,0.99997,0.27605
212,21300,1.29714,0.45651,1.30290,0.45466,1.38059,0.45284,0.99076,0.27365
213,21400,1.24086,0.45424,1.29481,0.45231,1.23173,0.45068,0.91896,0.27073
214,21500,1.21745,0.45120,1.29034,0.44872,1.25586,0.44780,1.03137,0.26880
215,21600,1.26698,0.44898,1.29040,0.44689,1.26660,0.44483,1.00004,0.26624
216,21700,1.26999,0.44587,1.28065,0.44352,1.25551,0.44219,0.96416,0.26436
217,21800,1.17096,0.44397,1.26210,0.44083,1.36427,0.43948,1.03458,0.26171
218,21900,1.32990,0.44053,1.24859,0.43744,1.26676,0.43607,1.01492,0.25946
219,22000,1.28876,0.43839,1.25186,0.43525,1.32814,0.43405,0.97307,0.25701
220,22100,1.27470,0.43507,1.26681,0.43266,1.30489,0.43089,0.95517,0.25490
221,22200,1.26551,0.43199,1.23172,0.42976,1.33242,0.42832,1.03334,0.25262
222,22300,1.26973,0.42948,1.23759,0.42731,1.27400,0.42593,1.03764,0.25012
223,22400,1.32883,0.42629,1.32201,0.42453,1.34908,0.42274,1.01414,0.24769
224,22500,1.33756,0.42375,1.31799,0.42216,1.28755,0.42095,1.04011,0.24583
225,22600,1.32206,0.42152,1.29491,0.41957,1.34012,0.41814,1.02530,0.24339
226,22700,1.27501,0.41918,1.33946,0.41662,1.28004,0.41577,1.01321,0.24050
227,22800,1.22828,0.41603,1.33363,0.41357,1.25379,0.41235,0.97115,0.23883
228,22900,1.30796,0.41418,1.32239,0.41126,1.28306,0.41048,1.02449,0.23628
229,23000,1.31216,0.41128,1.24286,0.40836,1.35612,0.40682,1.01337,0.23389
230,23100,1.28579,0.40859,1.27120,0.40617,1.30608,0.40405,1.00735,0.23217
231,23200,1.31716,0.40579,1.14675,0.40357,1.35630,0.40177,1.00210,0.23008
232,23300,1.27223,0.40338,1.32735,0.40079,1.28148,0.39945,1.03726,0.22769
233,23400,1.35665,0.40076,1.23826,0.39782,1.29578,0.39626,1.00868,0.22591
234,23500,1.28321,0.39881,1.26854,0.39527,1.36245,0.39416,1.00823,0.22349
235,23600,1.29930,0.39622,1.22528,0.39318,1.28099,0.39223,1.01985,0.22180
236,23700,1.21611,0.39279,1.27921,0.39037,1.35821,0.38804,1.04650,0.21947
237,23800,1.28470,0.39011,1.28375,0.38772,1.29584,0.38651,1.01398,0.21738
238,23900,1.33037,0.38781,1.32002,0.38532,1.22294,0.38358,1.03665,0.21548
239,24000,1.23120,0.38532,1.24292,0.38247,1.21709,0.38063,1.01043,0.21262
240,24100,1.33833,0.38254,1.18574,0.37998,1.30643,0.37856,0.97361,0.21095
241,24200,1.30648,0.38018,1.31602,0.37710,1.27503,0.37553,1.07417,0.20900
242,24300,1.27176,0.37768,1.27448,0.37482,1.33769,0.37303,1.06809,0.20721
243,24400,1.24214,0.37527,1.22274,0.37230,1.29772,0.37028,0.98837,0.20561
244,24500,1.33085,0.37295,1.26461,0.36985,1.31078,0.36806,1.10683,0.20338
245,24600,1.18972,0.36995,1.33216,0.36770,1.24982,0.36559,1.02686,0.20118
246,24700,1.34413,0.36730,1.30878,0.36467,1.19190,0.36337,1.00744,0.19903
247,24800,1.25003,0.36528,1.33624,0.36297,1.27696,0.36065,1.03910,0.19736
248,24900,1.27936,0.36298,1.26684,0.35977,1.37279,0.35888,1.00239,0.19558
