iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
150,15100,-4.64323,1.03222,0.04676,-4.61714,1.01147,0.04674,-4.67585,0.92623,0.04704,-7.08542,0.60084,0.04680
151,15200,-4.60960,0.96715,0.04652,-4.56147,1.05647,0.04602,-4.56506,0.95150,0.04636,-7.13143,0.64250,0.04613
152,15300,-4.52088,0.95199,0.04574,-4.48092,1.00044,0.04589,-4.50407,1.02062,0.04599,-7.07533,1.23613,0.04580
153,15400,-4.47170,1.01279,0.04555,-4.38825,1.01167,0.04567,-4.45465,0.96064,0.04534,-6.84338,1.00826,0.04550
154,15500,-4.39268,0.97897,0.04447,-4.33455,1.05167,0.04513,-4.42394,1.04436,0.04486,-6.91116,0.55722,0.04511
155,15600,-4.39663,0.99982,0.04441,-4.31540,1.07146,0.04450,-4.32646,1.01613,0.04485,-6.88683,0.54420,0.04431
156,15700,-4.26465,1.02296,0.04389,-4.26004,1.04728,0.04426,-4.29203,1.01148,0.04414,-6.81649,0.61908,0.04392
157,15800,-4.25089,1.05810,0.04359,-4.18551,1.05551,0.04382,-4.21332,0.98873,0.04373,-6.77466,0.65811,0.04355
158,15900,-4.20283,1.10183,0.04329,-4.07086,0.95962,0.04333,-4.15568,1.02076,0.04335,-6.68904,0.58100,0.04345
159,16000,-4.14406,1.03858,0.04291,-4.03468,1.01869,0.04297,-4.15194,1.06570,0.04265,-6.60035,0.56951,0.04286
160,16100,-4.07663,1.05804,0.04236,-3.95123,1.00911,0.04240,-4.08202,1.11351,0.04241,-6.54032,0.52834,0.04271
161,16200,-4.00421,1.03456,0.04222,-3.88968,1.10559,0.04200,-3.99068,1.02356,0.04191,-6.49916,0.57636,0.04176
162,16300,-3.95541,1.04548,0.04147,-3.84142,1.06713,0.04143,-3.98057,1.05240,0.04152,-6.41296,0.81181,0.04154
163,16400,-3.90311,1.06217,0.04104,-3.76300,1.06375,0.04129,-3.93682,1.09333,0.04131,-6.40352,0.53272,0.04117
164,16500,-3.82241,1.07395,0.04070,-3.72504,1.04542,0.04055,-3.83227,1.08727,0.04111,-6.35257,0.53642,0.04073
165,16600,-3.74431,0.99331,0.04049,-3.68608,1.10226,0.04028,-3.82452,1.15048,0.04047,-6.27831,0.75502,0.04058
166,16700,-3.67419,0.97370,0.04018,-3.58595,1.01570,0.04000,-3.81819,1.08445,0.03996,-6.22159,0.52750,0.03991
167,16800,-3.63128,1.04800,0.03959,-3.51848,1.03267,0.03955,-3.71395,1.01407,0.03968,-6.19426,0.59053,0.03961
