iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
228,22900,1.56906,0.16995,1.59395,0.17022
229,23000,1.54898,0.16964,1.51757,0.16801
230,23100,1.62886,0.16925,1.50970,0.16932
231,23200,1.62099,0.16884,1.57387,0.17074
232,23300,1.68044,0.16956,1.61534,0.16958
233,23400,1.54622,0.16633,1.43958,0.16858
234,23500,1.59683,0.16701,1.37742,0.16696
235,23600,1.67246,0.16675,1.53885,0.16692
236,23700,1.62684,0.16716,1.49329,0.16716
237,23800,1.63633,0.16702,1.45664,0.16666
238,23900,1.56774,0.16695,1.40412,0.16447
239,24000,1.58159,0.16480,1.37917,0.16692
240,24100,1.67677,0.16740,1.47380,0.16582
241,24200,1.68349,0.16541,1.41074,0.16673
242,24300,1.62253,0.16546,1.35169,0.16536
243,24400,1.68602,0.16532,1.43118,0.16354
244,24500,1.63286,0.16587,1.38835,0.16563
245,24600,1.57891,0.16600,1.53160,0.16617
246,24700,1.53691,0.16486,1.51783,0.16356
247,24800,1.60638,0.16471,1.44516,0.16469
248,24900,1.43518,0.16263,1.62245,0.16505
