iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
177,17800,-0.28836,0.94566,-0.18995,1.00819,-0.27114,1.05524,-0.86144,0.76531
178,17900,-0.30343,0.80800,-0.18027,0.72316,-0.26739,0.90167,-0.86682,0.78449
179,18000,-0.28243,1.00331,-0.17387,1.19179,-0.25104,1.24141,-0.86054,0.86539
180,18100,-0.28159,1.28834,-0.18339,0.96268,-0.26851,1.13432,-0.84756,0.89667
181,18200,-0.25827,1.09824,-0.19077,0.77749,-0.27045,0.75800,-0.86754,0.83294
182,18300,-0.28677,1.16049,-0.19531,1.25087,-0.26235,1.04468,-0.85389,0.85654
183,18400,-0.28178,1.21352,-0.19639,1.20915,-0.26645,0.99914,-0.83232,0.89519
184,18500,-0.29297,1.44944,-0.17726,0.89380,-0.26151,1.39497,-0.85916,0.85817
185,18600,-0.30702,1.54452,-0.17919,1.24772,-0.26731,1.08757,-0.84048,0.83564
186,18700,-0.27336,0.81503,-0.19720,0.96753,-0.24763,0.73630,-0.81645,0.85770
187,18800,-0.26420,0.99901,-0.16993,0.98982,-0.25700,1.26525,-0.84618,0.81181
188,18900,-0.26134,0.94406,-0.20159,0.99019,-0.25491,0.88618,-0.81251,0.85759
189,19000,-0.25475,0.77936,-0.18505,0.98921,-0.26703,0.97489,-0.81634,0.81070
190,19100,-0.27289,1.10491,-0.16952,1.01759,-0.23007,0.68124,-0.83348,0.79600
191,19200,-0.26131,0.93857,-0.16577,1.11676,-0.26372,1.01396,-0.84322,0.73718
192,19300,-0.26651,1.04408,-0.16347,0.77805,-0.26599,0.95088,-0.81173,0.84535
193,19400,-0.26071,1.22196,-0.15364,0.71131,-0.23767,1.21179,-0.80453,0.79708
194,19500,-0.22049,0.86015,-0.16848,0.81321,-0.24794,0.88807,-0.83448,0.81304
195,19600,-0.26386,1.01049,-0.18419,0.97331,-0.24030,0.86311,-0.81356,0.82075
