iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
147,14800,-0.72448,1.16251,-1.22592,1.17147,-0.98932,1.14784,-0.94674,1.02694
148,14900,-0.71619,1.20991,-1.24560,1.15409,-1.04930,1.15340,-0.91589,1.04743
149,15000,-0.70939,1.19084,-1.23598,1.22547,-0.99695,1.12410,-0.92407,1.09746
150,15100,-0.67353,1.22950,-1.19098,1.14649,-0.99144,1.08775,-0.91014,1.04054
151,15200,-0.70060,1.20407,-1.19797,1.20769,-1.05834,1.14763,-0.89794,1.05355
152,15300,-0.64927,1.23158,-1.22756,1.16299,-1.07262,1.21652,-0.83135,1.11840
153,15400,-0.66286,1.26061,-1.18611,1.23452,-1.01799,1.17689,-0.79988,1.15266
154,15500,-0.69277,1.36904,-1.14885,1.18988,-1.05371,1.18389,-0.78819,1.20736
155,15600,-0.64640,1.27625,-1.17673,1.30970,-1.00814,1.18809,-0.80832,1.20473
156,15700,-0.68404,1.25945,-1.14523,1.22679,-1.03497,1.19587,-0.77662,1.23530
157,15800,-0.65100,1.28675,-1.12816,1.23814,-1.03358,1.17489,-0.75167,1.24436
158,15900,-0.62474,1.23664,-1.13308,1.16716,-0.97699,1.17091,-0.73859,1.22826
159,16000,-0.63584,1.26646,-1.08874,1.21425,-1.00200,1.19662,-0.75622,1.23793
160,16100,-0.61216,1.17419,-1.06201,1.22808,-0.97640,1.13330,-0.77880,1.16924
161,16200,-0.59151,1.20403,-1.04729,1.19057,-0.96709,1.17437,-0.71619,1.17057
162,16300,-0.57626,1.23429,-1.07782,1.25052,-0.96191,1.14810,-0.74511,1.19629
163,16400,-0.55817,1.28144,-1.05203,1.17930,-0.94376,1.11351,-0.71423,1.19302
164,16500,-0.56770,1.25043,-1.05168,1.33653,-0.97741,1.15697,-0.69148,1.21085
165,16600,-0.58927,1.23820,-1.03416,1.28743,-0.92516,1.13050,-0.71270,1.25288
166,16700,-0.54972,1.16418,-1.00656,1.22332,-0.95480,1.19164,-0.67512,1.19465
167,16800,-0.56566,1.31338,-0.97295,1.31398,-0.90581,1.13204,-0.71846,1.17680
168,16900,-0.59936,1.37616,-0.98402,1.21955,-0.89121,1.14947,-0.71548,1.16520
169,17000,-0.61113,1.32177,-0.96089,1.25683,-0.89497,1.13216,-0.67633,1.19962
170,17100,-0.59812,1.33412,-0.98224,1.27400,-0.89626,1.20707,-0.68194,1.19978
171,17200,-0.55828,1.32124,-0.97754,1.34864,-0.86921,1.10796,-0.67796,1.23130
172,17300,-0.52781,1.25581,-0.92444,1.19711,-0.92160,1.15658,-0.67408,1.19932
173,17400,-0.54053,1.31222,-0.93899,1.29483,-0.87080,1.13339,-0.64177,1.30265
174,17500,-0.50148,1.36201,-0.88883,1.29445,-0.89200,1.18939,-0.61857,1.25216
175,17600,-0.53771,1.31565,-0.89124,1.26660,-0.83128,1.10090,-0.65026,1.22366
176,17700,-0.51871,1.28339,-0.89862,1.29638,-0.84747,1.16719,-0.59529,1.23118
177,17800,-0.52027,1.31540,-0.88614,1.34421,-0.84432,1.15690,-0.63542,1.26601
178,17900,-0.50447,1.32446,-0.87768,1.27067,-0.82510,1.17982,-0.63247,1.21288
179,18000,-0.47841,1.32358,-0.81506,1.35599,-0.80174,1.26956,-0.58246,1.25062
180,18100,-0.49386,1.38477,-0.80796,1.37615,-0.81358,1.23777,-0.63277,1.19090
181,18200,-0.50192,1.39441,-0.83036,1.34478,-0.80244,1.21960,-0.61577,1.25465
182,18300,-0.43060,1.30446,-0.76058,1.36780,-0.78043,1.22588,-0.59814,1.30974
183,18400,-0.39988,1.29205,-0.74748,1.33329,-0.77505,1.28177,-0.63639,1.29454
184,18500,-0.37694,1.33009,-0.68783,1.41429,-0.73072,1.27184,-0.61087,1.34809
185,18600,-0.38189,1.38976,-0.70102,1.37829,-0.69005,1.30961,-0.61415,1.25784
186,18700,-0.36196,1.35708,-0.70581,1.42602,-0.74126,1.26998,-0.59181,1.24768
187,18800,-0.33249,1.30974,-0.66285,1.34985,-0.70373,1.35399,-0.63060,1.28502
188,18900,-0.32661,1.38438,-0.67366,1.43127,-0.70732,1.25718,-0.58640,1.28936
189,19000,-0.33488,1.44455,-0.65395,1.53843,-0.67839,1.19935,-0.62781,1.29676
190,19100,-0.29544,1.36175,-0.64578,1.51340,-0.63878,1.26099,-0.58013,1.36200
191,19200,-0.33329,1.36100,-0.56975,1.45683,-0.64526,1.27152,-0.61339,1.26362
192,19300,-0.25965,1.34563,-0.62465,1.39229,-0.67361,1.35248,-0.64075,1.22017
193,19400,-0.24420,1.38190,-0.55386,1.43138,-0.61287,1.31184,-0.65940,1.25009
194,19500,-0.22303,1.38886,-0.55433,1.40497,-0.59560,1.38184,-0.63969,1.35477
195,19600,-0.19069,1.31283,-0.51924,1.41046,-0.59627,1.34265,-0.64832,1.21032
196,19700,-0.20525,1.35799,-0.49333,1.45875,-0.62143,1.39706,-0.67848,1.20811
197,19800,-0.22711,1.31953,-0.49864,1.43237,-0.58993,1.34323,-0.64564,1.31788
198,19900,-0.19794,1.40166,-0.47511,1.44907,-0.60921,1.43002,-0.61010,1.24514
199,20000,-0.18002,1.30433,-0.44080,1.52805,-0.54697,1.34827,-0.64518,1.25604
200,20100,-0.18421,1.34670,-0.48207,1.43431,-0.53035,1.32856,-0.62911,1.27151
201,20200,-0.18217,1.38462,-0.47778,1.55681,-0.54003,1.42152,-0.64185,1.23376
202,20300,-0.16784,1.33659,-0.41220,1.50062,-0.55146,1.35937,-0.65266,1.25319
203,20400,-0.14272,1.37573,-0.41206,1.43368,-0.50102,1.29501,-0.69113,1.22969
204,20500,-0.15900,1.33571,-0.37094,1.40003,-0.49117,1.37592,-0.66356,1.27556
205,20600,-0.06673,1.33521,-0.39218,1.56536,-0.45906,1.44487,-0.71178,1.30733
206,20700,-0.16554,1.35975,-0.36155,1.44451,-0.42595,1.33705,-0.64417,1.40898
207,20800,-0.11039,1.45120,-0.34789,1.46236,-0.42506,1.38947,-0.71501,1.30770
208,20900,-0.08898,1.37675,-0.31863,1.45320,-0.41005,1.37114,-0.71677,1.29663
209,21000,-0.07310,1.42282,-0.33329,1.47693,-0.36860,1.38551,-0.71280,1.28183
210,21100,-0.01403,1.31871,-0.34652,1.52330,-0.37828,1.33486,-0.73958,1.27631
211,21200,-0.03720,1.40425,-0.31635,1.52283,-0.38240,1.44788,-0.77199,1.22009
212,21300,-0.05213,1.37713,-0.32043,1.47209,-0.35230,1.38828,-0.76469,1.26251
213,21400,-0.04008,1.46878,-0.28950,1.53246,-0.35453,1.42669,-0.70726,1.28364
214,21500,-0.01601,1.37115,-0.24405,1.43884,-0.29863,1.38505,-0.70644,1.34626
215,21600,-0.00515,1.38713,-0.24518,1.52600,-0.29793,1.44840,-0.70941,1.31266
216,21700,0.00301,1.42316,-0.22475,1.56501,-0.23443,1.37196,-0.70405,1.27503
217,21800,0.02448,1.40911,-0.25739,1.59221,-0.31160,1.46668,-0.68479,1.31014
218,21900,0.00417,1.53830,-0.22077,1.50790,-0.26841,1.39708,-0.66850,1.32790
219,22000,0.00490,1.34216,-0.21889,1.54598,-0.29012,1.37950,-0.68501,1.33317
220,22100,0.03024,1.41732,-0.24801,1.53131,-0.30699,1.43325,-0.67872,1.34352
221,22200,0.02902,1.48521,-0.20415,1.51279,-0.24749,1.38198,-0.66598,1.37092
222,22300,0.06768,1.36986,-0.17212,1.48528,-0.22391,1.38677,-0.68269,1.24563
223,22400,0.05614,1.30248,-0.22939,1.45514,-0.24676,1.35835,-0.70183,1.31369
224,22500,0.07499,1.40189,-0.15464,1.53243,-0.23741,1.41299,-0.77999,1.28655
225,22600,0.07277,1.43275,-0.17474,1.53590,-0.22035,1.39387,-0.73446,1.32324
226,22700,0.04677,1.38756,-0.19060,1.43792,-0.24470,1.36302,-0.68750,1.33669
227,22800,0.04499,1.36874,-0.18688,1.55455,-0.21808,1.37302,-0.69472,1.30884
228,22900,0.07586,1.41599,-0.14950,1.53572,-0.23712,1.41295,-0.66187,1.30102
229,23000,0.03556,1.48558,-0.19309,1.51815,-0.25803,1.43324,-0.68830,1.30412
230,23100,0.08819,1.41736,-0.16392,1.38522,-0.25550,1.61536,-0.67093,1.30115
231,23200,0.03144,1.44007,-0.20463,1.37634,-0.25102,1.44593,-0.69782,1.35840
232,23300,0.04284,1.44981,-0.17294,1.45777,-0.23005,1.44369,-0.67036,1.38342
233,23400,0.02461,1.34601,-0.18221,1.57080,-0.29077,1.48097,-0.68269,1.31479
234,23500,0.00470,1.48503,-0.17785,1.48100,-0.28355,1.51124,-0.62179,1.35433
235,23600,0.04024,1.43934,-0.23211,1.51683,-0.23911,1.50272,-0.61034,1.32903
236,23700,0.03841,1.45353,-0.22091,1.57669,-0.26750,1.51444,-0.60209,1.35961
237,23800,0.01076,1.50523,-0.22078,1.46468,-0.24051,1.52161,-0.62602,1.30901
238,23900,0.03647,1.53494,-0.19550,1.45765,-0.22024,1.56965,-0.64812,1.31880
239,24000,-0.01072,1.62342,-0.22130,1.52832,-0.22455,1.51161,-0.58960,1.38829
240,24100,-0.03903,1.64139,-0.24136,1.59969,-0.22328,1.55998,-0.70509,1.29704
241,24200,-0.02569,1.48373,-0.24343,1.54254,-0.16066,1.40316,-0.61650,1.31509
242,24300,0.03764,1.47645,-0.17748,1.63177,-0.16414,1.59472,-0.58200,1.33139
243,24400,-0.00315,1.63066,-0.21034,1.56810,-0.16523,1.50931,-0.61096,1.26760
244,24500,0.03058,1.48780,-0.20308,1.55658,-0.15980,1.46770,-0.60461,1.32648
245,24600,0.01611,1.56699,-0.27999,1.61546,-0.14630,1.56248,-0.60968,1.36114
246,24700,0.00284,1.63853,-0.28349,1.67810,-0.20421,1.60976,-0.54773,1.36204
247,24800,0.06229,1.53719,-0.24700,1.58469,-0.17930,1.60917,-0.54946,1.28930
248,24900,0.04475,1.59831,-0.30772,1.62562,-0.18664,1.55765,-0.51763,1.40668
