iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
224,22500,-3.62895,0.16295,-3.77385,0.11042
225,22600,-3.63449,0.20343,-3.80509,0.09309
226,22700,-3.63108,0.11314,-3.75001,0.13635
227,22800,-3.57900,0.14335,-3.76080,0.61050
228,22900,-3.62629,0.13029,-3.74368,0.22203
229,23000,-3.61707,0.09905,-3.77677,0.15596
230,23100,-3.60528,0.15845,-3.73196,0.22034
231,23200,-3.61395,0.15520,-3.77578,0.10927
232,23300,-3.60792,0.14847,-3.79907,0.09892
233,23400,-3.64670,0.15453,-3.77669,0.12477
234,23500,-3.66847,0.09264,-3.77489,0.25231
235,23600,-3.63427,0.13315,-3.78420,0.11615
236,23700,-3.60968,0.20732,-3.82112,0.16911
237,23800,-3.65967,0.15276,-3.76148,0.17764
238,23900,-3.59673,0.15605,-3.77861,0.13876
239,24000,-3.64424,0.11671,-3.80388,0.13652
240,24100,-3.60983,0.21783,-3.79102,0.11339
241,24200,-3.59335,0.21482,-3.75830,0.11469
242,24300,-3.65265,0.13829,-3.73497,0.15570
243,24400,-3.62030,0.15020,-3.74038,0.15477
244,24500,-3.62188,0.11022,-3.75193,0.15554
245,24600,-3.64113,0.15401,-3.74024,0.14363
246,24700,-3.62687,0.13348,-3.71299,0.11448
247,24800,-3.67202,0.10156,-3.78906,0.17863
248,24900,-3.62967,0.14886,-3.78680,0.09868
