iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
152,15300,-1.75784,1.70098,-0.50517,2.75233,-0.79106,2.79033
153,15400,-1.73214,1.74351,-0.51746,2.75939,-0.78007,2.75731
154,15500,-1.81174,1.84708,-0.46957,2.57643,-0.81991,2.86672
155,15600,-1.80427,1.76168,-0.47995,2.70663,-0.79481,2.84971
156,15700,-1.76686,1.65269,-0.59422,2.62786,-0.71620,2.82223
157,15800,-1.87414,1.76243,-0.42823,2.69904,-0.75669,2.71803
158,15900,-1.78209,1.68631,-0.44841,2.85121,-0.83722,2.75895
159,16000,-1.78833,1.73513,-0.52645,2.61144,-0.94034,2.87868
160,16100,-1.83112,1.85956,-0.38753,2.68557,-0.80160,2.76858
161,16200,-1.84604,1.62646,-0.47471,2.62745,-0.80268,2.88635
162,16300,-1.83082,1.63342,-0.34692,2.69906,-0.82355,2.98758
163,16400,-1.83823,1.70901,-0.33511,2.75073,-0.89565,2.90220
164,16500,-1.87978,1.67868,-0.37013,2.68505,-0.80332,2.74680
165,16600,-1.89701,1.64135,-0.33560,2.61978,-0.82788,3.02899
166,16700,-1.86722,1.64987,-0.47008,2.99173,-0.82288,2.93527
167,16800,-1.84881,1.77047,-0.35645,2.70172,-0.85968,2.69273
168,16900,-1.82907,1.67099,-0.43864,2.55542,-0.79095,2.88959
169,17000,-1.84550,1.68492,-0.40180,2.81443,-0.83992,2.92616
170,17100,-1.86150,1.69873,-0.44515,2.61660,-0.87629,2.66990
171,17200,-1.84718,1.71539,-0.48251,2.72319,-0.91712,2.93188
172,17300,-1.88330,1.70209,-0.46129,2.53576,-0.74517,2.65379
173,17400,-1.88149,1.71362,-0.41994,2.85658,-0.87687,2.67033
174,17500,-1.93686,1.73905,-0.38155,2.63644,-0.86371,2.75013
175,17600,-1.93169,1.64508,-0.34518,2.70597,-0.88032,2.78317
176,17700,-1.86456,1.71805,-0.24020,2.84185,-0.65509,2.85251
177,17800,-1.86832,1.64867,-0.35271,2.67229,-0.86989,2.62111
178,17900,-1.85555,1.77640,-0.33920,2.79726,-0.82808,2.63654
179,18000,-1.88949,1.67549,-0.30661,2.91794,-0.84718,2.77924
180,18100,-1.84709,1.79328,-0.35928,2.57910,-0.81911,2.61126
181,18200,-1.97215,1.60746,-0.34801,2.68791,-0.79131,2.91678
182,18300,-1.87688,1.73964,-0.33104,2.64876,-0.84461,2.77408
183,18400,-1.93100,1.62589,-0.38877,2.63486,-0.94913,2.68312
184,18500,-1.93651,1.70501,-0.34085,2.68855,-0.91540,2.67347
185,18600,-1.84843,1.69073,-0.37564,2.80061,-0.97914,2.81983
186,18700,-1.94929,1.73008,-0.36335,2.62093,-0.80882,2.51487
187,18800,-1.90785,1.68084,-0.37322,2.70615,-0.85777,2.78893
188,18900,-1.84455,1.77260,-0.37348,2.53266,-0.82423,2.71479
189,19000,-1.78415,1.74344,-0.25815,2.61742,-0.93826,2.69919
190,19100,-1.86366,1.73875,-0.43560,2.84776,-0.89068,2.71087
191,19200,-1.97117,1.65752,-0.23332,2.53742,-0.86801,2.93221
192,19300,-1.86857,1.77548,-0.33060,2.63205,-0.85138,2.77960
193,19400,-1.79983,1.67172,-0.38707,2.77023,-0.78653,2.70334
194,19500,-1.83357,1.74868,-0.32402,2.56440,-0.87199,2.81850
195,19600,-1.83499,1.75513,-0.27357,2.77880,-0.82319,2.72104
196,19700,-1.87289,1.70234,-0.45812,2.70966,-0.86510,2.58870
197,19800,-1.86037,1.68955,-0.29294,2.60482,-0.79841,2.79669
198,19900,-1.79036,1.78066,-0.39788,2.68678,-0.82430,2.65590
199,20000,-1.81885,1.68743,-0.23996,2.54989,-0.84285,2.96917
200,20100,-1.85499,1.73755,-0.25336,2.82291,-0.84242,2.85444
201,20200,-1.88228,1.69899,-0.26009,2.61081,-0.84758,2.81497
202,20300,-1.82581,1.73359,-0.33088,2.63291,-0.74123,2.71830
203,20400,-1.94935,1.69476,-0.34035,2.67659,-0.87459,2.54881
204,20500,-1.96103,1.65566,-0.23408,2.49484,-0.78772,2.87883
205,20600,-1.82856,1.77883,-0.31706,2.76822,-0.78404,2.56339
206,20700,-1.90493,1.67996,-0.26918,2.66756,-0.76641,2.77698
207,20800,-1.93811,1.72751,-0.30115,2.50557,-0.74614,2.53717
208,20900,-1.90437,1.73464,-0.39088,2.79999,-0.99487,2.91680
209,21000,-1.90916,1.70378,-0.36795,2.44425,-0.91194,2.63878
210,21100,-1.82574,1.66353,-0.27869,2.44209,-0.85433,2.52891
211,21200,-1.90767,1.69282,-0.16962,2.54525,-0.96436,2.69262
212,21300,-1.87399,1.71859,-0.35055,3.00763,-0.76772,2.58501
213,21400,-1.88083,1.72255,-0.26396,2.47121,-0.82101,2.77909
214,21500,-1.93494,1.75659,-0.29547,2.72005,-0.83594,2.73156
215,21600,-1.87653,1.74428,-0.32833,2.50719,-0.83462,2.61090
216,21700,-1.87755,1.71883,-0.21693,2.65252,-0.99924,2.66220
217,21800,-1.85362,1.65825,-0.37320,2.60421,-0.86699,2.60828
218,21900,-1.88755,1.72675,-0.29846,2.74541,-0.88410,2.47858
219,22000,-1.88812,1.81028,-0.24536,2.56682,-0.84154,2.57991
220,22100,-1.89689,1.75835,-0.29593,2.54685,-0.94097,2.62045
221,22200,-1.88271,1.70747,-0.26608,2.43509,-0.82633,2.55168
222,22300,-1.86705,1.78250,-0.26075,2.67017,-0.93226,2.46436
223,22400,-1.78805,1.66110,-0.32187,2.62288,-0.92283,2.57357
224,22500,-1.91163,1.74850,-0.16341,2.51625,-0.85084,2.83581
225,22600,-1.82513,1.69789,-0.28565,2.69637,-0.90470,2.49898
226,22700,-1.86148,1.80866,-0.25420,2.58343,-0.88582,2.62686
227,22800,-1.85571,1.67484,-0.18901,2.75353,-1.04103,2.56938
228,22900,-1.82941,1.72822,-0.21985,2.53038,-0.88566,2.49624
229,23000,-1.79254,1.77035,-0.37912,2.58351,-0.80535,2.57551
230,23100,-1.86380,1.85981,-0.22708,2.46521,-0.96697,2.58890
231,23200,-1.91387,1.83519,-0.34554,2.44660,-0.97788,2.67799
232,23300,-1.83961,1.70367,-0.28008,2.49019,-0.81727,2.44892
233,23400,-1.87794,1.65946,-0.18759,2.51361,-0.87910,2.46698
234,23500,-1.89237,1.77250,-0.22590,2.46588,-0.91115,2.55472
235,23600,-1.87470,1.71487,-0.17941,2.40070,-0.82218,2.50400
236,23700,-1.85309,1.69079,-0.26168,2.29919,-0.97647,2.52585
237,23800,-1.85540,1.81217,-0.22106,2.45495,-0.81459,2.40385
238,23900,-1.85157,1.66478,-0.21843,2.59231,-1.00500,2.46674
239,24000,-1.90350,1.70749,-0.18347,2.70745,-0.88918,2.42156
240,24100,-1.95771,1.72063,-0.10035,2.45657,-0.95606,2.37862
241,24200,-1.91373,1.67971,-0.21499,2.47807,-0.93665,2.57646
242,24300,-1.90407,1.67500,-0.23105,2.52600,-0.85295,2.56407
243,24400,-1.84341,1.73582,-0.25149,2.43873,-1.03256,2.52866
244,24500,-1.82433,1.67956,-0.16251,2.46317,-0.94905,2.63044
245,24600,-1.94611,1.65018,-0.20325,2.39675,-0.97813,2.66271
246,24700,-1.85471,1.76172,-0.29037,2.43645,-0.85761,2.39994
247,24800,-1.91615,1.67528,-0.27551,2.33545,-0.93355,2.65126
248,24900,-1.91605,1.72479,-0.15713,2.47847,-0.89401,2.40550
