iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
103,10400,-12.54433,4.52537,0.16059,-12.91929,4.31396,0.18423,-12.98267,4.69021,0.18843
104,10500,-12.59916,4.76009,0.16017,-12.89441,4.20563,0.18590,-13.20137,4.58516,0.18884
105,10600,-12.55280,4.32295,0.16078,-12.86373,4.45364,0.18625,-13.17706,4.62360,0.19128
106,10700,-12.58595,4.67280,0.16134,-12.90213,4.40126,0.18370,-13.27620,4.49108,0.18859
107,10800,-12.57715,4.53943,0.15976,-12.87424,4.29140,0.18298,-13.23247,4.61021,0.18815
108,10900,-12.54591,4.48997,0.15943,-12.91637,4.54671,0.18433,-13.29260,4.54130,0.18794
109,11000,-12.66547,4.59150,0.15852,-12.72036,4.38355,0.18270,-13.12584,4.84375,0.18631
110,11100,-12.61338,4.42065,0.15557,-12.80430,4.51697,0.18239,-13.25189,4.76844,0.18738
111,11200,-12.56765,4.51120,0.15925,-12.70644,4.28177,0.18062,-13.33761,4.75163,0.19045
112,11300,-12.60012,4.82704,0.15911,-12.76434,4.41109,0.17939,-13.29395,4.83752,0.18828
113,11400,-12.60530,4.88026,0.15661,-12.98484,4.24746,0.18085,-13.06107,5.07138,0.18527
114,11500,-12.78883,4.37135,0.15696,-12.89034,4.43913,0.18185,-13.23708,4.73511,0.18662
115,11600,-12.67168,4.54324,0.15700,-12.82976,4.42244,0.18009,-12.93823,5.45427,0.18679
116,11700,-12.59231,4.46319,0.15444,-12.79567,4.51675,0.17971,-13.02926,4.70420,0.18612
117,11800,-12.76610,4.15772,0.15649,-12.65220,4.62295,0.18133,-13.17331,4.59004,0.18557
118,11900,-12.64946,4.37248,0.15467,-12.67068,4.63744,0.17991,-13.20126,4.65427,0.18759
119,12000,-12.79721,4.41299,0.15450,-12.88547,4.31677,0.18106,-13.15399,4.78716,0.18495
120,12100,-12.68977,4.40142,0.15610,-12.76909,4.61617,0.18038,-13.07206,4.74918,0.18207
121,12200,-12.60196,4.21631,0.15151,-12.54851,4.52861,0.17817,-13.23487,4.98950,0.18417
122,12300,-12.71413,4.57651,0.15210,-12.65983,4.41582,0.18001,-13.12575,4.64455,0.18640
123,12400,-12.70375,4.32246,0.15446,-12.60032,4.30707,0.17845,-13.16992,4.75687,0.18417
124,12500,-12.54373,4.15790,0.14934,-12.59867,4.47405,0.17687,-13.03579,4.66583,0.18144
125,12600,-12.55566,4.26143,0.15161,-12.54113,4.14222,0.17526,-12.99451,4.96036,0.18152
126,12700,-12.56585,4.56358,0.15068,-12.59023,4.48382,0.17753,-13.01013,4.65917,0.18042
