iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
118,11900,-17.10760,2.17902,0.22808,-16.95648,1.83437,0.22686,-16.79835,2.16408,0.22984,-16.91174,1.54768,0.22613
119,12000,-17.13145,2.27873,0.22816,-16.95911,1.82558,0.22811,-16.80748,1.95522,0.22718,-17.05247,2.02485,0.22638
120,12100,-17.16963,2.58414,0.22634,-17.05850,2.00033,0.22758,-16.84428,1.86749,0.22540,-17.06392,1.73923,0.22713
121,12200,-17.41566,2.45924,0.22701,-17.16011,1.93627,0.22655,-16.95866,2.08594,0.22869,-17.28317,2.09821,0.22725
122,12300,-17.39154,2.31746,0.22719,-17.23460,2.09532,0.22719,-16.94511,1.93510,0.22487,-17.27538,1.85030,0.22757
123,12400,-17.40364,2.20477,0.22650,-17.32295,2.00777,0.22615,-16.96711,2.02115,0.22685,-17.39480,1.64903,0.22510
124,12500,-17.44535,2.11579,0.22705,-17.39291,1.95510,0.22616,-17.02280,1.79582,0.22687,-17.46151,1.67432,0.22825
125,12600,-17.49428,2.20201,0.22637,-17.44325,1.91872,0.22645,-17.04382,1.87400,0.22542,-17.60133,1.63600,0.22484
126,12700,-17.61896,2.26194,0.22620,-17.56698,1.96586,0.22575,-17.02615,2.09237,0.22730,-17.70726,1.65878,0.22680
127,12800,-17.60992,2.02696,0.22781,-17.58410,2.02116,0.22804,-17.09674,1.88514,0.22576,-17.92647,1.66400,0.22560
128,12900,-17.68564,2.04316,0.22837,-17.71022,1.84915,0.22721,-17.20921,1.86110,0.22631,-17.94556,1.72046,0.22603
129,13000,-17.80147,1.97680,0.22834,-17.66136,1.84016,0.22594,-17.29708,1.74522,0.22603,-18.07889,1.63002,0.22718
130,13100,-17.81495,2.09157,0.22594,-17.83577,1.99830,0.22646,-17.29559,1.89064,0.22579,-18.19916,1.68418,0.22609
131,13200,-17.86181,2.08403,0.22578,-17.94822,2.07660,0.22565,-17.27604,2.26960,0.22677,-18.28253,1.61209,0.22547
132,13300,-17.99967,1.95040,0.22759,-17.89219,1.99662,0.22781,-17.33768,1.90304,0.22601,-18.45567,1.89409,0.22663
