iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
85,8600,-19.39386,2.04022,0.33528,1.56007,-18.99856,1.08996,0.33153,1.56832,-18.84094,1.11430,0.32936,1.58950,-16.05410,1.13116,0.27778,1.59902
86,8700,-19.35429,1.35628,0.32973,1.56081,-18.98482,0.95714,0.32568,1.56877,-18.79096,1.62721,0.32679,1.58902,-15.95120,1.01559,0.27343,1.59918
87,8800,-19.24813,1.61672,0.32725,1.56212,-18.79862,1.07666,0.32170,1.56977,-18.48966,1.64701,0.32201,1.58947,-15.85949,1.30495,0.27029,1.59849
88,8900,-18.94470,1.41612,0.32378,1.56215,-18.69208,0.85215,0.31829,1.56752,-18.48308,1.20104,0.31819,1.59097,-15.74176,1.08562,0.26643,1.59831
89,9000,-18.83524,1.27170,0.31791,1.56142,-18.60787,0.98224,0.31461,1.56849,-18.23053,1.01878,0.31432,1.59135,-15.57070,1.11085,0.26501,1.59823
90,9100,-18.83066,1.31773,0.31394,1.56301,-18.45568,0.93455,0.30982,1.56870,-18.14340,1.06821,0.31225,1.58978,-15.60117,1.09406,0.26200,1.59747
91,9200,-18.88210,1.55303,0.31061,1.56253,-18.32989,0.90655,0.30652,1.56802,-18.04847,1.07308,0.30812,1.59040,-15.43583,1.46346,0.25857,1.59742
92,9300,-18.63155,1.13942,0.30703,1.56305,-18.30083,1.12020,0.30287,1.56575,-17.93062,1.38768,0.30647,1.58868,-15.40825,1.03682,0.25578,1.59756
93,9400,-18.53748,1.67063,0.30413,1.56307,-18.19710,1.60854,0.29978,1.56587,-17.71898,1.60307,0.30164,1.58892,-15.53539,1.37075,0.25368,1.59678
94,9500,-18.55256,1.07353,0.29868,1.56077,-18.06882,1.42412,0.29423,1.56637,-17.65293,1.30459,0.29776,1.58862,-15.36820,1.45792,0.25041,1.59646
95,9600,-18.33677,1.13312,0.29477,1.56428,-17.84092,1.38018,0.29189,1.56607,-17.67422,1.72326,0.29451,1.58949,-15.21196,1.12589,0.24622,1.59638
96,9700,-18.10936,0.90608,0.29220,1.56290,-17.83525,1.65945,0.28957,1.56492,-17.36150,1.02965,0.29135,1.58926,-15.16430,1.16099,0.24514,1.59612
97,9800,-18.04602,1.19085,0.28890,1.56378,-17.68813,1.16786,0.28554,1.56564,-17.32794,1.43770,0.28909,1.58863,-15.13437,1.24283,0.24117,1.59662
98,9900,-17.94001,1.41218,0.28493,1.56375,-17.38268,1.11873,0.28255,1.56342,-17.32380,1.04175,0.28651,1.58938,-14.97463,1.20764,0.23923,1.59606
99,10000,-17.77565,1.03014,0.28130,1.56306,-17.36125,1.43006,0.27929,1.56475,-17.09552,1.03589,0.28216,1.58834,-14.92728,1.47546,0.23712,1.59609
100,10100,-17.59125,1.46343,0.27755,1.56289,-17.16872,1.50765,0.27492,1.56522,-16.98285,1.04550,0.27886,1.58892,-14.76095,1.15027,0.23398,1.59496
101,10200,-17.54441,1.27124,0.27440,1.56441,-17.07567,1.11692,0.27367,1.56438,-16.83279,1.01467,0.27564,1.58849,-14.76116,1.39324,0.23138,1.59511
102,10300,-17.47640,1.32297,0.27098,1.56392,-16.95902,1.45586,0.26931,1.56454,-16.73434,1.16829,0.27143,1.58963,-14.59803,1.53820,0.22873,1.59471
103,10400,-17.37867,1.14275,0.26740,1.56604,-16.82774,1.17686,0.26660,1.56580,-16.57600,1.05596,0.26829,1.58819,-14.62968,1.01314,0.22592,1.59545
104,10500,-17.25500,1.30081,0.26328,1.56460,-16.57364,1.34418,0.26347,1.56435,-16.38754,1.01501,0.26693,1.58858,-14.48153,0.97547,0.22303,1.59575
105,10600,-16.97602,1.20014,0.26047,1.56694,-16.45088,1.16293,0.25945,1.56606,-16.41935,0.99056,0.26206,1.58676,-14.40552,1.03614,0.22099,1.59593
106,10700,-16.86814,1.41850,0.25801,1.56566,-16.35903,0.83837,0.25620,1.56687,-16.39439,1.05057,0.25945,1.58786,-14.21254,1.12147,0.21859,1.59564
107,10800,-16.68004,1.01816,0.25457,1.56562,-16.18111,1.11507,0.25374,1.56823,-16.15880,0.87582,0.25566,1.58734,-14.18229,1.06015,0.21618,1.59464
108,10900,-16.59739,0.89090,0.25092,1.56708,-16.12274,1.21354,0.24973,1.56868,-15.95476,1.02250,0.25267,1.58738,-14.17639,0.98517,0.21362,1.59536
109,11000,-16.51837,1.41604,0.24786,1.56667,-15.91380,1.27492,0.24753,1.56899,-15.95179,1.11835,0.25068,1.58735,-14.04141,0.99717,0.21071,1.59534
110,11100,-16.33476,1.41758,0.24586,1.56706,-15.95708,1.17503,0.24375,1.56933,-15.70442,1.19343,0.24790,1.58739,-13.97112,1.06895,0.20924,1.59529
111,11200,-16.15783,1.51514,0.24137,1.56654,-15.85468,1.41592,0.24173,1.56968,-15.72785,1.48067,0.24436,1.58708,-13.82913,1.04981,0.20612,1.59530
112,11300,-16.04445,0.84091,0.23935,1.56647,-15.51833,1.08215,0.23851,1.56937,-15.54827,1.09363,0.24189,1.58588,-13.63891,1.07971,0.20339,1.59480
113,11400,-15.89856,1.14466,0.23630,1.56641,-15.55225,0.92891,0.23576,1.57135,-15.28961,1.36325,0.23801,1.58588,-13.69814,1.13237,0.20134,1.59503
114,11500,-15.91048,1.00415,0.23201,1.56803,-15.24093,0.96917,0.23354,1.57138,-15.16342,1.12720,0.23604,1.58582,-13.53848,1.15523,0.20034,1.59466
115,11600,-15.68689,1.05294,0.22953,1.56841,-15.31659,1.36046,0.23098,1.57231,-15.15364,1.17014,0.23321,1.58565,-13.50433,1.10164,0.19806,1.59474
116,11700,-15.49277,1.21375,0.22733,1.56671,-15.19987,1.12898,0.22813,1.57233,-14.98918,0.93125,0.23019,1.58551,-13.51328,0.99686,0.19521,1.59433
117,11800,-15.37143,1.09840,0.22355,1.56851,-15.12690,1.44102,0.22487,1.57298,-14.88472,1.55893,0.22800,1.58520,-13.35000,1.00387,0.19279,1.59433
118,11900,-15.23011,0.99307,0.22167,1.56611,-14.86257,1.08179,0.22235,1.57239,-14.80385,1.19366,0.22497,1.58569,-13.27431,0.96856,0.19157,1.59310
119,12000,-15.03437,1.24315,0.21859,1.56760,-14.80390,1.18637,0.22045,1.57266,-14.74644,1.48750,0.22302,1.58389,-13.17902,0.92662,0.18946,1.59419
120,12100,-14.78003,1.21110,0.21561,1.56623,-14.67734,1.33243,0.21754,1.57083,-14.59713,1.09459,0.21975,1.58538,-13.08071,1.04906,0.18809,1.59372
121,12200,-14.77397,1.15158,0.21292,1.56625,-14.57843,1.32556,0.21376,1.57268,-14.49150,0.92204,0.21613,1.58452,-12.99976,1.02340,0.18476,1.59434
122,12300,-14.58884,0.99960,0.21034,1.56480,-14.37465,1.26283,0.21221,1.57401,-14.30211,1.24705,0.21550,1.58462,-12.88708,0.98228,0.18332,1.59312
123,12400,-14.49380,1.56237,0.20815,1.56700,-14.32857,1.57583,0.21012,1.57335,-14.18089,0.95545,0.21214,1.58304,-12.81196,1.02871,0.18114,1.59382
124,12500,-14.32174,1.28877,0.20453,1.56665,-14.20163,1.08246,0.20782,1.57240,-14.08560,1.43840,0.20963,1.58393,-12.72100,0.99080,0.17989,1.59320
125,12600,-14.07843,0.93503,0.20154,1.56559,-14.13211,1.06131,0.20534,1.57293,-13.98238,0.87552,0.20683,1.58330,-12.62002,1.14873,0.17670,1.59318
126,12700,-13.93230,1.57909,0.19986,1.56683,-13.98672,1.08233,0.20298,1.57398,-13.91016,0.83933,0.20423,1.58298,-12.48037,1.09882,0.17565,1.59344
127,12800,-13.86526,0.98967,0.19772,1.56551,-13.87270,1.22194,0.20085,1.57270,-13.81479,0.70930,0.20219,1.58390,-12.43361,0.98639,0.17472,1.59325
128,12900,-13.69632,1.03799,0.19502,1.56495,-13.72121,1.17568,0.19818,1.57402,-13.68482,0.91852,0.19947,1.58321,-12.37727,1.23731,0.17187,1.59309
129,13000,-13.65081,1.03936,0.19310,1.56570,-13.52136,0.99430,0.19635,1.57495,-13.54527,0.97800,0.19781,1.58250,-12.23395,0.88117,0.17064,1.59253
130,13100,-13.54569,0.94377,0.19051,1.56576,-13.47632,0.95612,0.19363,1.57252,-13.45698,0.99007,0.19547,1.58207,-12.24643,0.98262,0.16863,1.59267
