iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
237,23800,1.75502,0.19939,1.62033,0.19657,1.87126,0.19999,1.56264,0.19772
238,23900,1.81224,0.19768,1.68468,0.19828,1.80579,0.19856,1.62920,0.19847
239,24000,1.78536,0.19735,1.58611,0.19886,1.84798,0.19932,1.63410,0.19804
240,24100,1.80842,0.19853,1.56633,0.19806,1.88016,0.19888,1.57660,0.19964
241,24200,1.80769,0.20141,1.64257,0.19673,1.93600,0.19873,1.57085,0.19869
242,24300,1.81004,0.19986,1.63892,0.19779,1.84950,0.20044,1.55789,0.19793
243,24400,1.81044,0.19749,1.57627,0.20036,1.89884,0.19702,1.54647,0.19729
244,24500,1.84461,0.19964,1.63501,0.19739,1.87572,0.19842,1.61990,0.19784
245,24600,1.79907,0.19832,1.67949,0.19692,1.79930,0.19762,1.51384,0.19789
246,24700,1.77963,0.19658,1.57514,0.19868,1.88881,0.19875,1.57630,0.19759
247,24800,1.73721,0.19804,1.61376,0.19724,1.82186,0.19952,1.57255,0.19777
248,24900,1.78799,0.19675,1.59001,0.19807,1.84812,0.19801,1.58236,0.19730
